reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
2699407,1552,GlobalGuest,5,5,5,4,5,3,4,FALSE,FALSE,3,"San Jose, CA, USA",5/[YEAR-0],6/1/[YEAR-0],TRUE,The staff is excellent and the rooms are very tidy and comfortable.,4,"Great Stay, Excellent Customer Service","The staff at the Belvoir Garden Grove met all of my expectations and went above and beyond to help me when I had to book an extra room at the hotel when it was pretty much full. I will certainly keep staying here when I travel back to the area. Clean rooms, great service, great location. 5 stars."
2699408,353,JamesH,2,1,1,3,1,3,7,FALSE,FALSE,4,"Baton Rouge, LA, USA",5/[YEAR-0],6/1/[YEAR-0],FALSE,Incredible view of the city,4,No sleep on vacation,"Upon checking in, I was surprised that there was a long line with only one desk person working and not a separate line for platinum or gold members. The desk staff was friendly and welcoming. She upgraded me to a suite which was great at the time."
2699642,814,ajm33,4,5,4,5,3,4,4,FALSE,FALSE,4,"norfolk, va",5/[YEAR-0],6/1/[YEAR-0],TRUE,EASY BEACH ACCESS,4,wonderful view of the beach,hotel still under going renovations during my stay but i am impressed with what i have seen so far - room was light and airy - front desk pleasant and professional. location was on the quieter end of the boardwalk which is what i preferred but still within walking distance to all the major attractions. my one complaint was the dining situation - in both instances i was charged incorrectly (lunch and breakfast) but the problem was quickly corrected. don't know if this is a new summer staff and the kinks are still being worked out or a little more attention needs to be paid by the staff.
2712013,421,Fluffy,5,5,5,5,5,4,6,FALSE,FALSE,1,"New York, NY",5/[YEAR-0],6/1/[YEAR-0],TRUE,,1,Hotel,We had a wonderful time while staying at your hotel. Everything was just perfect. We will definitely recommend it to our friends.
2713706,1137,soccer1,5,5,5,5,4,0,6,FALSE,FALSE,3,northern VA,5/2911,6/1/[YEAR-0],TRUE,"Friendly, knowledgeable staff",2,Great Staff,"This was a great hotel - clean and comfortable. Starbucks in the lobby, great bar and restaurant."
2713707,1137,soccer1,5,5,5,5,4,0,6,FALSE,FALSE,3,northern VA,5/[YEAR-1],6/1/[YEAR-0],TRUE,"Nice, knowledgeable staff.",2,Great Staff,"This was a great hotel - clean and comfortable. Starbucks in the lobby, great bar and restaurant."
2714234,196,NCStateGuy,3,5,5,5,1,3,8,FALSE,FALSE,2,"Cary, NC, USA",5/[YEAR-0],6/1/[YEAR-0],FALSE,,2,Very nice hotel but several serious flaws,"Spent 5 nights at the hotel with my wife celebrating our 10th anniversary. Absolutely loved Chicago and will be back soon. However, we will not stay at the Belvoir Hotel & Tower again due to 2 serious flaws. The first and more serious of the 2 flaws was the internet connection speed. The entire stay our connection speed in our room (both wired and wifi) was consistently between 0.3 and 0.4Mbps which is only slightly faster than dialup. If you are a business traveler or somebody that will do more than just check email then you are going to be very frustrated. A hotel of this caliber should have much better internet speed. The second flaw was the TV reception. Throughout our entire stay there were several channels (both major network and non network) that were ""black"" and even one day that the service was totally down."
2714302,421,FLAchick,3,5,3,4,2,2,5,TRUE,FALSE,1,"Tallahassee, FL, USA",5/[YEAR-0],6/1/[YEAR-0],TRUE,"It's right down the street from all the popular things you've heard about New York: Broadway, Times Square, Madison Square Garden, Manhattan Mall",3,*shrugs*,"The hotel was nice, the bed was comfy and the bathroom was cute. The location of this hotel is perfect, it's right at the heart of everything. I appreciate the front desk guy who was overly patient with me during check-in. The bellhop guys were nice and friendly."
2714907,111,TutiFruti,4,4,4,4,2,2,6,FALSE,FALSE,3,Memphis,5/[YEAR-0],6/1/[YEAR-0],TRUE,Great location- NO CLUB LOUNGE,2,"Great location, BPG benefits below expectations","This hotel was in a great location, close to Cumberland Mall with access to many restaurants. My teens loved it! The room was nice and spacious. I was very disappointed to find out that they did not have a club lounge when I arrived. I typically take advantage of this feature and look forward to it each time I travel. This was especially surprising since the welcome email I recieved days prior to my arrival mentioned club advantages. This is false advertising to me and I felt deceived. Also, when I checked in, no one asked to help with my bags nor did they even offer a luggage cart. I was traveling with 3 children, and it was quite a feat to accomplish getting to the room without help. I was also disgusted with the fact that I had to pay for internet. If I could have had club access, this would have not been the case. Parking was not free either, and there was no choice but to park in the garage, which was pretty scary, no security guard, and not well lit at night. This should be complimentary for preferred members. The staff was generally nice and accomodating in the end. After complaining, they provided me with complimentary breakfast in the restaurant for my family each morning of my stay. I would suggest this hotel to others because of the location. It was about 10 minutes from downtown ATL with convenient access to Coca cola factory, aquarium, and other popular attractions."
2715118,421,LCD18,5,5,5,5,5,5,6,FALSE,FALSE,3,New Jersey,5/[YEAR-0],6/1/[YEAR-0],TRUE,"The location is perfect for a walk to Central Park, shopping, Times Square and theater district.",2,Staff is very personable and helpful.,"Front desk staff could not have been more helpful and polite, as were the bar staff and those at the coffee bar in the morning."
2715485,430,KimberlyJ,5,5,5,5,5,2,8,TRUE,FALSE,1,"Milwaukee, WI, USA",5/[YEAR-0],6/1/[YEAR-0],TRUE,The location is perfect for walking to Fenway.,2,Best Hotel in Boston,"This hotel has everything you could possibly want or need. We stayed 5 nights and it was absolutely perfect. The Director of Front Office Operations, Alex, assisted with pre-stay details of our reservation. Mr. Lee, Front Desk Supervisor, checked us in. Both gentlemen were extremely helpful, polite and personable."
2715583,3068,Debbie527,5,5,5,5,5,,8,FALSE,FALSE,1,,5/[YEAR-0],6/1/[YEAR-0],TRUE,Nice Clean Room For The Money.,,Great Room For The Money,"The room was very clean and spacious. The furniture, carpeting, and bedding was very nice. I didn't see any worn, torn, or dirty spots anywhere. I was very pleased with our room and the service. Easy access from Interstate 81. I would recommend this hotel to all those who are traveling. Thanks Belvoir for the nice stay."
2715621,377,CRBY,5,4,4,5,5,4,7,FALSE,FALSE,4,"Sacramento, CA, USA",5/[YEAR-0],6/1/[YEAR-0],TRUE,If you have kids - this is the place you should stay in Waikiki!,4,Something for All Ages,This is the perfect BPG Hotel for a family. There is something for the young and young at heart. Good night life and plenty of kid-friendly activities. The BEST swimming pool and water activities for children plus a separate pool area for adults. BPG recognition perks were a huge bonus with complimentary breakfast in the morning and social hour(s) in the early evening. All top notch not just pastries or cheese and crackers. Rooms are not spectacular but good size and clean.
2715744,460,Stephen4976,4,4,4,4,3,3,2,FALSE,FALSE,3,USA,5/[YEAR-0],6/1/[YEAR-0],TRUE,"Parking is expensive everywhere, so you might as well park here.",2,Good Location and value,"Good for conferences. Quiet but central location. Plumbing broke, but was promptly fixed."
2716357,3716,MikeA,1,1,1,1,1,4,4,FALSE,FALSE,4,"Los Angeles, CA",5/[YEAR-0],6/1/[YEAR-0],FALSE,Avoid,4,"Avoid, the place is a joke","The rooms are old, tired and dirty. The staff simply don't care, the valet takes 30 minutes to get your car. As a Platinum memeber, I was given access to the club lounge, when I visited the lounbge to get breakfast one morning at 8 AM, they were already out of food and the attendent told me that they had no plans of replenishing. Avoid this place."
2716384,674,newdadat58,5,5,5,5,5,5,6,FALSE,FALSE,2,"Seaford, NY, USA",5/[YEAR-0],6/1/[YEAR-0],TRUE,"Location, Location, Location!",2,Perfectly met our needs,This was the last leg of our vacation on our way home and the Belvoir at Bucks County perfectly met our needs. Traveling with two young boys (2 and 3 years old) is challenging under perfect conditions and having a clean and comfortable place to rest the kids just makes our lives a whole lot easier.
2718852,664,Sharon19,4,4,4,5,3,4,6,FALSE,FALSE,2,"Ontario, Canada",5/[YEAR-0],6/1/[YEAR-0],TRUE,Great beach..,3,"Great Location, I will return!!","Just returned from Belvoir FT Lauderdale. Great beach, cabanna boys work hard and are very polite I give them 5 stars.. Front desk/starbucks/valet jockey's very friendly. If you don't have a car not the best location for amenities. Concierge James was informative yet not very friendly. He never once smiled or seemed happy. He made both myself and my mother feel like we were bothering him. I certainly was not impressed by his level of customer service. I work in the largest Gaming facility in North America and I know how important the Concierge role is."
2718875,2019,JasonMI,4,4,4,4,4,2,6,FALSE,FALSE,2,Michigan,5/[YEAR-0],6/1/[YEAR-0],TRUE,Very nice pool,2,Great place,"This is a great place to stay. Friendly staff, nice rooms, and a great pool are the highlights of this hotel."
2718887,1776,sfdjah,1,1,1,1,2,,2,FALSE,FALSE,3,,6/[YEAR-0],6/1/[YEAR-0],FALSE,,,Avoid at all cost,I stay in hotels almost 200 nights per year. My company makes me stay in this one once a year and it is BY FAR the worst hotel we stay in.
2718964,3679,Donald3217,1,1,1,3,1,2,6,FALSE,FALSE,3,"Kalamazoo, MI, USA",5/[YEAR-1],6/1/[YEAR-0],FALSE,,4,Rude Staff,"The claim they gave me a upgrade, but the phone in the room was missing more buttons than it had on it. On top of that I could not see out the window because of water between the two panes of glass and the list goes on. I have emailed the hotel 3 times now. Sent the emails to every email address listed on the contact page plus a few more and not one person at this hotel has been willing to even email me back."
2718983,3068,RdRnr,5,5,5,5,5,4,8,FALSE,FALSE,3,"Flowery Branch, GA",5/[YEAR-0],6/1/[YEAR-0],TRUE,You really need to meet Mr. X. L. Fox,2,Wonderful all around,"I really like the cash and points option. Hotel is very nice and Shula's sandwiches are huge and delicious. The bell man, Mr. Foxx is a terrific assett to the hotel upon your arrival."
2718990,760,Anonymous,5,5,5,5,5,5,8,FALSE,FALSE,3,"Paducah, KY",5/[YEAR-0],6/1/[YEAR-0],TRUE,The location.,2,Loved this hotel!,"This hotel was very nice. It was across the street from the beach. The staff was very helpful, they helped us set up dinner reservations and gave us advice on what to do. The suite was fanatastic. We will be back."
2719123,5607,smart73,2,5,3,1,1,3,8,TRUE,FALSE,3,Kissimmmi,5/[YEAR-0],6/1/[YEAR-0],FALSE,If you have any issues or concerns they will NOT be addressed!,4,Unhappy BPG Member,"first the door had to be blocked the lock wasn't working, and no rooms availableto move to. the microwave had food in it, the tub had private hairs in and around it, the garbage cans still had garbage in them.i was told my account would be noted and a manager would contact me, still no call."
2719988,5608,Kevin999,2,2,1,2,2,2,6,FALSE,FALSE,3,"Chicago, IL, USA",3/[YEAR-0],6/2/[YEAR-0],FALSE,Overcharging customers...,2,Very very poor customer response - Billing twice on credit card,"The problem with this resort is that they billed me twice, almost an additional $1000, and have never resolved it even now after 2-3 weeks after checkout. IF you want your money's worth be careful here, as they may never return the money. Hopefully the General Manager can review this on top priority and resolve this. After 3 phone calls they only say another few business days, though they accept there is a billing error. Very very poor customer response. I would not recommend this place if they are billing customers twice, and not efficient in resolving issues."
2721539,802,RileyD99,3,3,2,4,4,2,2,FALSE,FALSE,2,"Little Rock, AR",5/[YEAR-0],6/2/[YEAR-0],TRUE,,3,No Recognition,"Aside from acknowledging that my BPG # was attached to my reservation I received no recognition for being a member. I was not placed on the preferred floor, where I appreciate and enjoy the free bottled water that is generally provided. I requested a room other than a double bed room and was not accommodated, either. Had I not been forced to sleep in a bed smaller than I am accustomed I would rate the room comfort higher. The best part of the stay was the fitness facilities. The pool & whirlpool were great as was the gym. Nothing special about this place."
