reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
10035790,3054,deerisle,4,4,5,3,3,4,2,FALSE,FALSE,4,"Maine, USA",8/[YEAR-0],9/1/[YEAR-0],TRUE,Great service but small rooms,4,Good business hotel with smallish rooms,"First, the two real positives of this property are a) some great staff who cared about the guests; and b) remodeled guest rooms that were very comfortable."
10036201,1995,ahuanho,2,1,3,3,1,,6,FALSE,FALSE,2,,8/[YEAR-0],9/1/[YEAR-0],FALSE,,,worst bed,Worst Belvoir I have ever been to
10036344,196,Kosuke,3,3,3,3,3,5,3,FALSE,FALSE,2,"Fukuoka, Fukuoka Prefecture, Japan",8/[YEAR-0],9/1/[YEAR-0],TRUE,,3,Noise,The shower sound from the neighbouring room is too big.
10036502,468,Smith8,4,4,5,4,4,3,6,FALSE,FALSE,1,Chicago,8/[YEAR-0],9/1/[YEAR-0],TRUE,It has a warm and beautiful atmosphere,3,This hotel has everything you need,"This hotel has something for everyone to enjoy.There are beautiful pools,a playground terrific food,bars and you can even walk to the Boardwalk. I will definitely be staying there again."
10036535,460,Harvey,4,4,4,4,4,6,2,TRUE,FALSE,1,,8/[YEAR-0],9/1/[YEAR-0],TRUE,,3,Good hotel conference,Ihotel met all of expectations and even exceeded them in every department except the conference food. I was disappointed and would rate the food as below average.
10036642,802,TejasB,1,1,1,1,1,,6,FALSE,FALSE,1,"Texas, USA",8/[YEAR-0],9/1/[YEAR-0],FALSE,It's completely overpriced for the actual quality you receive!,,This was the worst experience I have ever had at a hotel!!,"This hotel was really dirty...the hot tub has dirt on the floor and on the bench...you can clearly tell it hasn't been cleaned in FOREVER! The pool was so cold you couldn't even get in and it was dirty too! This AFTER we waited over an hour for the maintenance guy to fix the door so we could actually get into the pool area. I had to call the front desk twice to get that done!! The bathtub in the room had stains that I could not remove after trying to clean it myself. For what we paid for this room for one night, they did not even offer a continental breakfast yet the rude front desk guy informed me I could purchase breakfast (for a ridiculous price per person) in the hotel restaurant. We were already paying above what was reasonable for that level of quality and to not offer breakfast is ridiculous!!! The room has two air vents in the ENTIRE room and the air goes on and off which is very frustrating...the room remained hot and never felt comfortable (yet the air was working properly) no matter how low we turn it down. The guy at the front desk was on a personal call when I walked up one time to ask a question and actually rolled his eyes and stated ""what do you need?!"" Ummm...this was the worst experience we have ever had a hotel and considering the cost of the whole thing I would NEVER stay here again!! We checked out other hotels in the area (due to having to return to the area in a couple months) and would stay at those over this hotel in a heartbeat!!! This hotels offer either continental breakfasts or breakfast buffets at their restaurants at a way lower price than this place, Take my advice....BOOK SOMEWHERE ELSE!!!"
10036918,1236,Charlie37,5,5,5,5,5,5,6,FALSE,FALSE,3,"Downtown Nashville, TN",8/[YEAR-0],9/1/[YEAR-0],TRUE,Excellent service!,4,The staff was helpful and professional,"From the valet parking workers, bell man taking our luggage to room, lady at the check-in counter, folks in the restaurant until we checked out and got our car to leave the service was excellent...everyone was courteous and very professional! Seems like we've lost some respectful and professional service across the board but not at the Downtown Sheration-Nashville!"
10037197,2019,MarkG67,3,3,4,4,4,4,4,TRUE,FALSE,4,Ohio,8/[YEAR-0],9/1/[YEAR-0],TRUE,,4,Don't get club level,"Ive stayed at this hotel a few times and staff is good, however the last two times there, I paid for club access and both times I could not access it. I mentioned to the lady at front desk and both times said they need to activate at checkin. Shouldn't you know that by looking at the computer screen."
10037433,468,tgiahn65,4,4,5,5,4,,3,FALSE,FALSE,1,,8/[YEAR-0],9/1/[YEAR-0],TRUE,,,Beautiful site,The hotel/resort was beautiful. All of the staff were helpful and welcoming to all.
10037553,760,joas,5,5,5,5,5,5,5,FALSE,FALSE,2,Key West,8/[YEAR-0],9/1/[YEAR-0],TRUE,beautiful location on smather'sbeach,1,Wedding Location,I was married on Smather's Beach and all of my family and guests stayed at Belvoir Suites. It met all of our needs and more - the perfect place for kids to enjoy the beach and the beautiful pool. Our pool side reception was amazing - beautiful venue and great food. No one wanted to go home after 4 days at Key West.
