reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
270601,1177,consult001,2,5,3,4,2,5,4,FALSE,FALSE,4,"Phoenix, AZ, USA",6/[YEAR-0],11/1/[YEAR-0],FALSE,"This would be a great hotel for infrequent travellers who want a more economical option to staying in Manhattan, but still want easy access to the city. I would recommend that frequent travellers and business travellers find another option.",4,Disappointed,"Perhaps this location is no longer interested in the business traveller. This was my third engagement in the area and I looked forward to returning with excitement as the prior two extended stays with this hotel had been wonderful. Management has changed though and I never felt appreciated as a recurring guest. The renovated rooms are lovely, but with restaurants in walking distance in such short supply, the lack of a microwave or refrigerator was a hardship when I am there week after week. Room service never did get it right for me and no attempt was made to encourage my repeat business."
270786,19,Jack320,1,2,1,3,1,3,2,FALSE,FALSE,2,,10/[YEAR-0],11/1/[YEAR-0],FALSE,,2,"No Electricty, No Hot Water No Internet yet charged full price","I stayed at the Belvoir on 29 October room 621, when the power went out in the area because I was told that the back up generator will start shortly and the hot water system is on the back up power."
272071,1506,flyboy,2,2,2,4,1,3,2,FALSE,FALSE,4,"Denver, CO, USA",10/[YEAR-0],11/1/[YEAR-0],FALSE,"Despite being renovated, the rooms still have very dated furnitre, lack of meaningful HD content and poorly appointed bathrooms.",4,Marginally OK,"Not sure what ""recent renovation"" means. The lobby was OK, but the hallways and rooms didn't even come close to reflecting being ""transformed by a recent $5.7 million renovation"". This is definitely one of the worst Belvoirs I've experienced in some time. I'm horrified to think what it was like before the ""renovation"". I would strongly recommend going elsewhere unless location next to the noisy interstate is a must."
272123,795,stillhungry,1,5,1,5,1,5,2,FALSE,FALSE,3,Texas,11/[YEAR-0],11/1/[YEAR-0],FALSE,,4,Service,"Ordered room service at 8 pm...waited an hour & was told they'd send it up....waited another hour...no food...when I called front desk, they explained that hotel was full and only one person working room service..why didn't they know that they were going to be busy? Don't they check their reservations? Terrible service, cannot get connected to wifi either...worst Belvoir I have ever experienced!!!"
272661,96,Sheri,3,5,1,5,2,5,7,FALSE,FALSE,3,"Garland, Texas",10/[YEAR-0],11/2/[YEAR-0],FALSE,Staff service stinks!,2,"While the hotel was very nice, the staff were rude, unhelpful, and discourteous","The room itself was very nice. The sofa bed didn't have sheets or a blanket or pillow, so when asked the staff simply stated they didn't have any more. They didn't even bother to offer an alternative. There weren't any cups in the room to accomodate water, so we asked the staff for cups. They were rude and said they didn't have any. The lounge for Grandbourne patrons was very nice with ample food and flavored water. Why couldn't the staff be as nice as the accomodations? So, if you don't need anything from the staff you would have a nice stay here."
272807,127,gail60,2,4,2,4,1,4,2,FALSE,FALSE,2,"San Diego, CA, USA",10/[YEAR-0],11/2/[YEAR-0],FALSE,iPad use in lobby main floor only. Most inconvenient for business work in the comfort of your room,3,Short on amenities,disappointed that the customer has to use lobby computers for internet access as there isn't wi-fi in the rooms unless one uses the cable. Most inconvenient for iPad users.
273285,460,DARRYL,2,3,1,4,2,5,6,FALSE,FALSE,4,"VICTORIA, CANADA",10/[YEAR-0],11/2/[YEAR-0],FALSE,"The staff are clearly not a unit or team. Its a case of I'll do it my way, good bad or in between. The concierge staff was excellent as were the Club Lounge staff and food.",4,"NOISY, STARK ROOMS, NON RESPONSIVE STAFF","I am a Platinum level guest who stayed at this hotel for the first time last week. I was told at check in I was UPGRADED to a JUNIOR SUITE. I arrived on the 27th floor to find my room opposite the elevator (think noisy and you'll be correct) and when I opened the room, it was far from a suite but rather an oversized room with a sofabed and a room meeting table with 4 chairs - stark and uninviting I'd call it. I called the front desk to express my concern about being so close to the noise of people coming and going at the elevators and waited as the phone rang and rang, for over 10 minutes on 2 different attempts to reach someone. I finally gave up as I was heading out for dinner. I tried again when I came home and once again, no once answered. I had a sleepless night with noise from the guests coming and going and when I checked out I expressed my concerns to the front desk agent. She offered a few points, none of which were ever deposited, and that was it! I told her how unhappy I as with the hotel and that Id look to the Westin the future for my Seattle accommodation. She gave me a 'do what you want look'. When I went to retrieve my car, the doorman and parking attendent stood by my car for a full 5 minutes waiting for me with hand out, EXPECTING a tip for what they had done which was part of their job! I felt pressured to leave them each something, their body language and facial expressions screamed 'where is my money' and with disgust I drove away thinking I'll never, never return to the hotel. It has alot of work to do personnel wise."
273291,828,Ted62,5,5,5,5,5,4,4,FALSE,FALSE,4,"Manhattan, New York, NY, USA",11/[YEAR-0],11/2/[YEAR-0],TRUE,,4,Why stay anywhere else,"My advice, why stay anywhere else. The staff is the best in teh business. helpful, friendly and anticiaptes your needs. Teh facility (room, Gym, restaurant) all rate at the top of the list. I stay at least 60 nights per year in hotels. This one is a gem"
273402,421,MissCherryBomb,2,5,2,5,4,3,8,FALSE,TRUE,2,"Oakland, CA, USA",10/[YEAR-0],11/2/[YEAR-0],FALSE,"Good location, beautiful hotel, bad service.",2,Unprofessional Staff,"Very unhappy with nearly all experiences with the hotel staff. When we drove up to the curb, the bellmen ignored us--despite that it was pouring rain and snow (Oct 30 storm). I had to get out of the car and ask for help. The bellman said he would help me, so I went back to the car. 10 mins later, he was still tending to other people, hailing cabs. I got out of the car again, to ask for help AGAIN and he said ""oh yeah"", as if he forgot about me. This was my first impression of the generally unprofessional attitude of the staff. I then waited to 20 mins to check in, just to be told that I could not do so until 3pm! There was only two people checking in dozens and dozens of guests, but the staff were still working at a SNAILS PACE! No sense of urgency at all. I then went to see where my luggage was, so I could figure out what to do with it and was told it would be taken to the storage room until we could check in later. We left and came back later, to check in. Upon return, I waited for another 30 mins in line, just to be told that because I did not have a ticket for my luggage, I could not get it out of the storage room! I walked around, trying to find someone to help me with the situation and saw my luggage just sitting on a luggage cart, in the middle of the lobby! I was furious. We went up to our room and decided to stay indoors, since the storm was so bad outside. Then entire rest of the night, we were awoken by drunken Halloween partiers, because the door was too small from the frame and there was a 1/2 inch gap, which allowed all of the hallway noise to funnel into our room. The next morning, we were up early. We did not have a ""do not disturb"" sign on the door, but did not think that the housekeeping crew would bother us so early. Wrong. We heard a knock at the door at 8:45. Before we could answer, she just let herself in! I couldn't even believe it. I was so happy when we finally left. NOT a good experience, what-so-ever."
273413,865,Kathy50,5,5,5,5,5,5,5,FALSE,FALSE,2,New Jersey,10/[YEAR-0],11/2/[YEAR-0],TRUE,They went out of their way to help us.,,Warn and Friendly,"We stayed here 2 nights after the snow storm this past weekend. The hotel and it's staff were slammed!! People, children and dogs everywhere you looked! I never saw a staff member without a smile and a friendly word. The bartender Sat night in the Pub,deserves a medal! He must have handled 100 orders in th short time we were in there and never messed one up, or seemed rushed or cranky. He has my vote for employee of the month :) The room was large, clean, warm. The people wonderful. If our stay went this well in this situation it can only be better normally Thank You Belvoir !!!"
