reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
1130356,693,CRBY,2,1,1,3,,4,8,FALSE,FALSE,1,"Franklin, PA",3/2012,4/1/2012,FALSE,,2,Like a cheap motel,"Room smelled faintly of cigarette smoke. For the star rating and listed price, didn't expect paper cups, dinged up furniture and 80s beige theme. The air in the hotel was stale, and my wife in I took deep breaths of relief when outside, which is saying something in Pittsburgh. Biggest complaints: 1) Room heater was wildly erratic,and more like what I would expect in a cheap motel. Room was cool but turning up heat to highest setting only brought up heat a few degrees, over several hours. Turned it down, to below the setting where it had been cool, when going to bed, then woke in the middle of the night at what felt like 100 degrees, which gave me a severe headache. Had to turn on AC, which worked well."
1130663,1556,Dennis101,3,3,3,1,2,6,6,FALSE,FALSE,1,"Cerritos, CA, USA",3/2012,4/1/2012,FALSE,Building is in desperate need of a remake.,3,Wonderful Location; Poor accommodation,"Staying in San Diego is always a pleasure. We had a great time at the Zoo, The Harbor Cruise and driving around town. All around nice, leisurely 3 days and 2 nights."
1131297,1726,BobN85,4,5,4,5,3,4,3,FALSE,FALSE,2,Myrtle Beach,3/2012,4/1/2012,TRUE,Internet is very slow,2,Very frustrated,Speed of internet was horrible. I paid for high speed but there was not difference. I appreciate they refunded my money. So slow I was unalbe to work in my room. Spent an hour on the phone with someone who spoke very poor english (added to frustration) and got no where. Guest services said come down to the lobby and work. Spoke to many at our conference and they all had the same complaint.
1131464,430,Rvkplat,5,,,,,3,6,FALSE,FALSE,4,"Westchester, NY, USA",3/2012,4/1/2012,TRUE,Outstanding customer service,4,Another outstanding stay!,I stay at this property at least once a month. I have never had any problems at this property. I would say this is one of my favorite Grandbourne properties and the only one I stay at when traveling to Boston. The front office staff is always warm and welcoming upon check in. Pete always goes above and beyond to make sure every stay is outstanding. Every morning the attendants in the club lounge make you feel welcome as if you were having breakfast at your house.
1131760,115,RegularGuest,4,3,3,2,3,5,4,TRUE,FALSE,4,"Atlanta, GA",3/2012,4/1/2012,TRUE,"The walk from the garage to your room is very long, and there is no concierge club.",4,4th week in a row I have stayed here,"I am a Grandbourne Platinum. That barely matters at this hotel. Even after the hotel's Director of Operations told me personally a USA Today would be delivered to my room each morning, it did not happen. Apparently the night Bellman takes the night off. And, I seemingly always have to remind the front desk clerks that i am supposed to receive free breakfast coupons (business arangement). Since this hotel has no concierge or executive club, I believe I will stay at another chain's hotel which is closer to my client's office. The long walk from parking to my room and lack of platinum privileges isn't worht the extra commute."
1131950,1144,MotleyCrew,5,5,5,5,5,4,3,FALSE,FALSE,2,"Carlisle, OH, USA",3/2012,4/1/2012,TRUE,Very friendly staff,1,Attention from staff,"I just wanted to say that I have never stayed in a hotel where I am continuously greeted and acknowledged and asked do I need help like I have been here at the Belvoir. I just wanted to commend you for -- obviously your staff has got the message of greet and give eye contact to every guest. I mean all the way from the maintenance people to the bell hops to the late-night gift shop person everyone has greeted. I don't think I've walked by one employee that did not give me eye contact and say good morning or hello or may I help you. So I just thought I'd share positive feedback. I want to give you a total ""thumbs up"" for the attribute of a very attentive staff. Keep up the good work. Thank you."
1132238,344,glenn2003,4,4,3,4,4,4,6,FALSE,FALSE,1,Melbourne Australia,3/2012,4/2/2012,TRUE,Location to airport,4,Good all round but very slow on check in,"The Hotel overall was very good, the only issue is with check in and out. Very slow in this area, at one stage when we checked in there was 2 staff for about 12 individuel people waiting to be checked in and I did not find them very pleasant and they did not to look at people when dealing with them. They could maybe smile as well. But overall location and standard was good and pick up and drop off very good and quick."
1132415,1115,PHX2everywhere,4,4,4,3,4,3,6,FALSE,FALSE,4,"Phoenix, AZ, USA",4/2012,4/2/2012,TRUE,Club lounge is not open on weekends,4,Super Accommodating,"We were headed to the Bahamas and needed to layover in FLL for one night. THIS IS THE PLACE TO STAY! Free shuttle pickup from the airport, upgraded room, free appetizers, free breakfast buffet and club lounge. Talk about recognition for Platinum status. The pool was great for the kids since there were lots of other families in the same situation either getting ready for a cruise or just returning. It might not be the fanciest Belvoir, but they know their market and accommodate it perfectly."
1132529,3054,StateSenator,4,5,5,3,3,2,7,TRUE,FALSE,4,Indianapolis IN,4/2012,4/2/2012,TRUE,Great Staff,4,Great Place,"Upon arrival at Belvoir, I was warmly welcome with someone opening the door for me. I was greeted in the Gold/Platinum Line and the representative called me by name. This is a PLUS. The Guest Service Representative was VERY kind, caring and gave me all answers before I asked a question. There weren't any rooms available for my upgrade but I was offered Club Lounge access and free breakfast. I also had my late check-out to 4pm. I got an excellent view of the Circle. I found my new home"
1132770,102,WhiteSoxLover1,5,5,5,5,5,4,6,FALSE,FALSE,3,,3/2012,4/2/2012,TRUE,Location is central and pool area above average,2,Great Family Vacation Place,"From the front desk manager's assurances on the phone before we arrived to the checkout this was a great stay for our family. We had two rooms for a White Sox Spring Training vacation. The Club Level Lounge was a nice amenity. The pool area and waterslide were well above average. The food and atmosphere in the restaurant was excellent, and the patio area was an exceptional place to sit outside and talk as well as eat. We had a 3-hour breakfast one morning with friends that was just wonderful. The quiet restful pace of the whole facility was also appreciated. We loved Phoenix and we loved the Belvoir Crescent and would definitely return."
