reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
8059695,995,Scoony68,1,1,5,2,2,3,6,TRUE,FALSE,2,"Kelowna, BC, Canada",7/2012,8/1/2012,FALSE,Close to Disneyland,4,Noisy,"I stay frequently at Belvoir Hotels due to my job. I found this hotel in need of renovation. The carpet in my room was stained and needed replacement. There were constantly kids running up and down the hallway on the 3rd floor and the room was recommended to be quiet when we checked in. In the adjoining room there was constant barking from a dog! I don't know why Belvoir would allow dogs on the 3rd floor, or why someone would take their pet to Disneyland? I will not be staying at this property again! Even though I am complaining about the property, the staff were great! Kudos to them!"
8059734,1556,mahalo,5,5,5,5,5,3,6,FALSE,FALSE,3,,7/2012,8/1/2012,TRUE,Don't let the negative reviews scare you away from this hotel.,3,Why the negativity?,"I was nervous about staying here after the negative reviews. Erika checked us in very friendly. Both elevators worked, we had a suite on floor 14 the side were you supposedly can hear the hwy did not hear any noise everyone talked about. Room very clean, restaurant very good,fitness center clean plenty of towels. We had a great week here."
8059883,430,DrK1,3,5,1,5,4,5,2,FALSE,FALSE,2,Japan,7/2011,8/1/2012,TRUE,Great location for business.,2,Great Hotel with a little disappointment,"The hotel was great. Only disappointment was the Concierge person. Unkind and no smile. Her attitude was rude, so it was difficult to trust the information that she has given."
8060004,3207,David4906,2,3,1,4,2,5,3,FALSE,FALSE,1,"Washington, DC",7/2012,8/1/2012,FALSE,Poor registration process. Took me 45 minutes just to check in.,2,Business Trip,"Waited 45 minutes to check in and then the clerk gave me keys that didn't work. When I went back to the front desk, he told me to get back in line. I refused. Waiters in restaurant seemed to want me to move on more quickly then I was ready. There was trash in the hallway and room was average, at best."
8060016,166,Travelller,4,5,5,5,5,1,8,FALSE,FALSE,2,"Fort Lauderdale, FL, USA",7/2012,8/1/2012,TRUE,"Visit south street, 10 mins walk from the hotel",3,Loved it,"I ended up staying here because it was so close to so man my things to do in Philly like historical attractions like the liberty bell and also close to a hot spot like south street! The hotel was very nice, very neat, and the fitness center was in great condition and had very good equipment! I'll definitely stay here again, also the staff was very helpfull!!"
8060497,392,Capital,4,5,4,4,5,,5,TRUE,FALSE,1,"Sioux Falls, SD, USA",7/2012,8/1/2012,TRUE,,2,wish list,I know that you are trying to meet the needs of many different travelers. I do wish you didn't offer pornogrophy for viewing.
8060735,151,PAtravellers,5,5,5,4,,5,8,FALSE,FALSE,2,"Pottsville, PA, USA",7/2012,8/1/2012,TRUE,The ease of getting into and out of Manhattan.,3,Customer Service,Daphne at the front desk did an exceptional job. She went above and beyond to let us know about hotel services and details that made our stay stress-free and memorable.
8060772,5624,Sleepy123,3,1,3,5,1,5,6,FALSE,FALSE,3,,7/2012,8/1/2012,FALSE,EXTREMELY noisy.,4,Can't recommend,"My wife and I have never been so sleep deprived on a vacation. With no air conditioning, we are forced to sleep with the windows open. But it is SO noisy outside your facility, earplugs AND the pillow wrapped around my head did nothing to stem the on-going street noises. I am a Grandbourne Vacation owner, and I will never again stay at your facility. Just terrible."
8060783,1725,Lamar,5,5,5,5,5,6,7,FALSE,TRUE,4,"Orlando, FL, USA",7/2012,8/1/2012,TRUE,Fantastic Service,2,Perfect Place To Stay,Amy Bennett and her staff are great to work with. I highly recommend this hotel to anyone looking for a quality stay.
8060795,102,Traveler77,5,5,5,5,5,,5,FALSE,FALSE,1,,7/2012,8/1/2012,TRUE,,,This hotel has great staff,"The hotel staff were great, as were the accommodations."
8060866,1556,MamaJ,3,2,3,3,2,3,6,FALSE,FALSE,1,"San Diego, CA, USA",7/2012,8/1/2012,FALSE,Breakfast was delicious,,"Great Breakfast, great location but that's about it","Room wasn't available at checkin, still being cleaned. Get in room and their is mold in tub ( obviously not cleaned very well). Room has two beds- one rock hard mattress (the floor was softer). I reserved the room for 4 people yet EVERYDAY I had to ask for more towels as they only put 3 in each day. Elevator is about the slowest I have ever seen!!! There is ONE dryer and ONE washer for the entire hotel( there are 14 floors) needless to say it was NEVER open. (we were there for over a week) Front desk staff was hit or miss, some were great others were down right rude. Suggestions would be to have a hotel guest parking lot and one for the conference rooms as every night they had something going on at the hotel and I as a paying guest had to park pretty much in the car lot next door each night. BUT the breakfast was delicious and location (close to a ton of restraunts, mall, major freeways) was great!"
8060894,1137,Bob02026,4,5,5,5,5,4,6,FALSE,FALSE,3,"Boston, MA, USA",7/2012,8/1/2012,TRUE,This hotel has modern amenities and staff is very professional.,2,Nice Hotel,This hotel has modern amenities and staff is very professional.
8060986,196,IndyJoe,5,4,5,5,4,3,3,FALSE,FALSE,2,"Indianapolis, IN, USA",7/2012,8/1/2012,TRUE,"Location, Location, Location!",3,Great Conference & Great Hotel,"The Belvoir Chicago Hotel & Towers exceeded my expectations for the four days I called it home during a recent conference. Kudos to hotel management for a beautiful facility, outstanding staff, and an overall professional operation. I'm looking forward to a return trip in the near future."
8060996,115,VisionaryDiva,2,4,1,3,1,2,6,FALSE,TRUE,3,"Lafayette, IN, USA",7/2012,8/1/2012,FALSE,"It's not worth the price stay somewhere else with cheaper rates, bigger rooms, and more free amenities",2,Very Disappointing,"The pool was not working. We had made arrangements over the phone over the course of a week to make sure hotel would use credit card on file but when I got there they said u was given the wrong information. For the price of the room there should have been some type of free breakfast instead it was average cost of 22.00 per person as was quoted to me over the phone from room service. Friday and Saturday night the bar closed early according to listing in my room. However, when I called to double check I was told bar closes at 1:30am went down at 12midnight approximately 5 minutes after my phone call and was informed the bar was closed. After that I barely stayed in the room parking was not convenient after a certain point in the night and it proved easier and more relaxing to stay elsewhere. Just was not worth the price and I will never recommend."
8061000,198,pk8489,5,5,5,5,5,5,7,FALSE,FALSE,4,"Louisville, KY, USA",7/2012,8/1/2012,TRUE,Exemplary employees!,3,The ONLY place I'd stay!,"SMC is like my home away from home. The staff make you feel like you've arrived at home; they make you feel like you are the most important guest they've had all year-on every stay. I love this hotel-it is warm and inviting, the rooms are always well maintained, and the hotel maids welcome you each day like family. This trip my stay was in the Andrew Jackson Suite-so lovely! This hotel is my answer to any kind of travel to Nashville."
8061041,421,MKAtlanta,5,5,5,4,5,3,7,FALSE,FALSE,4,atlanta,7/2012,8/1/2012,TRUE,location is superb. staff is friendly and remembers returning guests.,4,warm welcome after long absence,"I came to NYC for a weekend after months away. The hotel management remembered me in-person from many frequent stays over past years. Less than an hour after checking-in, a bottle of wine, and a bowl of fruit were sent to my room along with a hand-written note from Kenny - the manager on-duty. Talk about warm hospitality from a big NYC hotel."
8061092,832,Kitkatkatie,5,5,5,5,5,3,8,TRUE,FALSE,2,"Midlothian, VA, USA",7/2012,8/1/2012,TRUE,Customer Service is the BEST!,4,Customer Service at its BEST!,"Out of everything that was excellent, I really feel the need to mention Miriam at the front desk. Her welcoming attitude and assisting suggestions were priceless during our overnight stay."
8061168,421,LibraryTeach23,5,5,4,5,5,6,1,FALSE,FALSE,2,"New York, NY",7/2012,8/1/2012,TRUE,Excellent location for shows and tourist attractions.,3,Handy Location,"I stayed at the hotel for the conference I attended in July. The proximity to everything I wanted to see was a great bonus. Shows, proximity to Times Square, subway 5th Ave. made the visit fun."
8061208,270,Lfrequenttravel,3,4,3,2,3,,6,FALSE,FALSE,4,"New Hope, PA",7/2012,8/1/2012,TRUE,Across the street from the convention center,4,Good hotel in practical location,"First room we checked into was dirty and refrigerator was not cleaned out from previous guest. Manager gave us another room, again a dirty refrigerator. Except for an apology no accommodation was offered for this major inconvenience which as a platinum member I would have expected."
8061217,1162,OutOfTownGuest,3,4,2,3,2,4,5,FALSE,FALSE,3,"richmond, va",7/2012,8/1/2012,FALSE,,4,Mixed feelings,-Place was clean but really worn out from use.
8061226,434,Brian86,2,2,5,2,1,4,5,FALSE,FALSE,2,"Columbus, OH, USA",7/2012,8/1/2012,FALSE,Not worth the money spent,2,Disappointed,"My family and I were attending a wedding in Raleigh and decided to turn it into our first family vacation and do it in style. Staying at a Belvoir seemed to be a good start. The staff was very friendly, helpful and professional and the 1st and 2nd floor of the hotel are nice. The rooms are an absolute disappointment and over-priced. We had to have the exhaust fan fixed, the windows are cloudy and didn't seal properly so they leaked air and water. The carpet needs to be professionaly cleaned. The window ledge had water damage and we had to keep our 1 yr old from picking at it and eating the paint. After we checked in, we found out that you will be nickle and dimed to death. All of these are indicators that this hotel has seen it's best days behind it and is headed downhill. The other hotel we stayed at, for a cheaper price, was far better than this hotel. I feel bad for the hard working staff at this location."
8061285,756,Eagle1,4,5,3,5,4,6,5,FALSE,FALSE,3,"LI, NY",7/2012,8/1/2012,TRUE,Good value,4,Castle,"I like the value and location. Staff is very helpful. However, mechanical problems and the time to repair were annoying."
8061293,1144,3/30/2012,1,3,1,4,1,4,6,FALSE,FALSE,3,TN,7/2012,8/1/2012,FALSE,,3,This Hotel was not very accomodating,From the time I arrived at 4:00PM the room was not ready. The parking was horrible and I couldn't find a space in the hotel parking garage but still paid to park. I would not stay here again.
8061374,127,ConnieJ,5,5,5,5,5,5,8,FALSE,FALSE,3,"Temecula, CA, USA",7/2012,8/1/2012,TRUE,"The location is not downtown, but the $1.00 shuttle makes it well worth it! The views are excellent.",2,Fantastic Weekend,I checked my husband and I in for his 57th birthday weekend getaway. We loved the hotel and everyone was so helpful and kind.
8061422,434,Chop16,2,3,2,4,2,3,5,TRUE,TRUE,1,Washington DC,7/2012,8/1/2012,FALSE,not to stay there,4,God awful Hotel,"Other than the front desk staff, this hotel was a nightmare!"
8061442,1474,Pete60,5,5,5,5,4,5,6,FALSE,FALSE,3,"Pontiac, IL, USA",7/2012,8/1/2012,TRUE,It's a hidden jewel.,3,Exceeded Expectations!,"The Read definitely made my family feel at home. Spacious rooms, plus a dash of nostalgia , made our stay very enjoyable. We most assuredly will add this to our travel spots in the future."
8061505,1137,silversnake1326,5,5,5,5,4,3,5,FALSE,FALSE,2,"Easton, PA, USA",7/2012,8/1/2012,TRUE,,1,Trip into the City!,We stayed at this facility for the weekend (2 nights). The hotel and room were very clean and nicely appointed. The staff was very helpful and courteous.
8061551,3077,7/1/2012,3,3,3,5,2,2,5,FALSE,FALSE,1,Wisconsin,7/2012,8/1/2012,FALSE,Small pool and small hot tub.,2,Small Pool & Hot Tub,"The hotel is clean and comfortable. The pool and hot tub appear like they have been cut in half. They are both small, especially the hot tub that is very narrow and only holds 4 people. We had many people from our group staying at this place for a wedding, the location of the wedding was barely outside the 5 mile radius of their shuttle use. Despite the fact the shuttle was always sitting unused they were not willing to take us to and from the wedding location...yet we gave them a ton of business that weekend. No free breakfast, only a menu or $12 buffet. If you don't care about either of those complaints then the hotel is an okay place to stay."
8061690,802,travelbug1212,5,5,5,5,5,5,5,FALSE,FALSE,2,"Erie, PA",7/2012,8/1/2012,TRUE,Will meet all your expectations for a reasonable price.,2,nice area,"Everything was great, only little complaint was the A/C system in the room blew out pretty hard on you while in bed. Would stay again. The view from some rooms and the restaurant are fabulous. Good location. Staff friendly, everything clean. Suites were roomy and nice kitchen area."
8061731,3068,Daisy363,1,1,2,1,1,,6,FALSE,FALSE,2,Va,7/2012,8/1/2012,FALSE,The pools were nice,2,This hotel is not what I expected,Unfortunately we were not happy with the
8061734,196,Mike823,3,4,3,4,4,4,8,FALSE,FALSE,3,"Chicago, IL, USA",7/2012,8/1/2012,TRUE,Beautiful views of the Chicago River and easy walking distance to Lake Michigan.,2,"Nice hotel, but......","Accommodations were very nice and location is great. We had serious issues with the elevators where groups of people were literaly waiting in line to go upstairs. Also, I was disappointed in the car valet service. I returned to the hotel after dinner and there was no one on duty. A sign instructed me to go to reception for service. So I had to wait in line. Not the kind of service I expect at a Grandbourne hotel."
8062059,1233,millll,4,5,4,4,5,4,6,FALSE,FALSE,3,"Chicago, IL",7/2012,8/1/2012,TRUE,,2,This hotel has a great location and features,"We enjoy staying at this hotel for the nice amenities, pool and exercise and clean rooms."
8062136,1047,Bob18,1,3,1,2,2,3,6,FALSE,TRUE,4,Upstate NY,7/2012,8/1/2012,FALSE,Stay somewhere else,4,Needs alot of help,Check in took over an hour and I was first in line (checking in at 430pm)
8062169,96,ArkansasTravler,4,4,5,5,4,4,6,FALSE,FALSE,1,"Arkansas, USA",7/2012,8/1/2012,TRUE,Great Staff,2,Dallas,We enjoyed our stay at this Hotel it was clean and comfortable very busy lobby but thats ok. I had to go out very late around 2am to get some meds and a staff member with out saying so sort of followed me to my room once he saw my room card he was happy. (I like that) they were very concerned with safety. Didn't like that i had to pay 10 bucks a day for internet for each device.
8062311,33,FOX1212,3,1,1,3,4,3,6,FALSE,FALSE,2,"Wilkes-Barre, PA",7/2012,8/1/2012,FALSE,The pool was nice,3,THE WORST NIGHTS SLEEP I HAVE EVER HAD,"I had booked a room at your Baltimore North hotel for July 27-29. About a week prior to that we decided to come down a day early. I called your hotel to book a room for th 26th as well. I was told that your hotel was booked. I then went on Hotwire and booked a hotel room for that night instead. Once I confirmed the reservation I was told by Hotwire that it was your hotel that I was being booked at. This was of course after I was told by your staff that the hotel was book. The first room we were given for the 26th was a nightmare. There were people hanging out in the hallway until 10:30 at night. When that noise finally died down the room next to us exploded with children screaming and running around the room until 1:00 in the morning. I have never stayed in a hotel that was that loud. It sounded like these people were in the same room as we were. I had my two small children with me and none us go to sleep until after 1:00 a.m. When I checked out of that room in the morning and into our original reservation I told the front desk how disatisfied I was with our room and the experience thus far with your hotel. All I received was a ""Sorry"". Our next room was nice and much more quiet. However, when we booked that reservation we booked it to include breakfast in the morning. The breakfast was a joke. Unless you got there at 6:00 a.m. there was no food left. We ended up eating in the restaurant the next day and waited 45 minutes for an omlette. I will say we did enjoy the pool, however that is about where our happiness with this stay ends."
8062438,3052,Paul50,5,5,5,5,5,5,6,FALSE,FALSE,3,"Las Vegas, NV, USA",7/2012,8/1/2012,TRUE,,2,Great Stay,"Thanks to the excellent staff of the Belvoir Tribeca for an excellent one week stay at your hotel. We felt as though we were home for our visit to NYC. Nice to be greeted each morning, front desk was able to handle our needs for faxes and package delivery."
8062553,111,ClayO,3,4,1,3,2,,6,FALSE,TRUE,4,"Houston, TX, USA",7/2012,8/1/2012,FALSE,Think twice before booking if you are looking for a relaxing stay and responsive service.,2,Less than we expected,"Unfortunately, this was our least satisfactory experience with a Grandbourne stay. We had very long waits for bell service both at check-in and departure. I had to call the front desk and remind them I needed help bringing in our family's luggage after waiting outside for about 20 minutes. There were many people there for some event, but they were just hanging out, not checking in or out. We had a similar experience at check-out, with no explanation or apology, and we did not check out at a busy time. The room and general decor were a little worn, but adequate. I spoke with an BPG rep about our experience, and they were very kind in receiving our comments. They even offered extra Starpoints as an accommodation, but those have never been issued."
8062557,421,PrairieRose,4,3,4,4,4,,3,FALSE,FALSE,1,,7/2012,8/1/2012,TRUE,,,Convention,"One of 2000 women attending a convention, I was pleased with the service and location to New York City attractions. I walked to most places I wanted to visit. One glitch was getting the bill split correctly for the four of us sharing a room. The desk person was courteous, but the process was lengthy and cumbersome."
8062655,1569,Navysteve71,5,5,5,5,5,,6,FALSE,FALSE,1,,7/2012,8/1/2012,TRUE,Nice hotel with great location.,,Great hotel for Disney visit,"We stayed here for a 3 day Disney trip. The hotel is about 3 blocks from the park entrance, but we opted for the shuttle service (adults $10/3 days, kids $2). We ate breakfast sandwiches in the lobby's sandwich shop each day, which also doubles as a small convenience store. We stocked up on small snacks and sandwiches to bring into Disney. The heated pool (and jacuzzi) offered a relaxing break after a long day of amusement park fun. Poolside bar serves appetizers and beer/wine/soda and has a TV. My IPAD was also able to pick up free WiFi service from the lobby while poolside. Hotel staff was friendly and courteous at every opportunity. Will definitely stay at this hotel again!"
