reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
433109,127,Donald5617,4,5,3,4,4,6,6,FALSE,FALSE,2,"Barrie, Ontario, Canada",11/2011,12/1/2011,TRUE,"Great Location, nice rooms and facilities",1,"Great views of harbour, room service slow",The hotel tower had great views of the harbour and island. Room and beds very comfortable and clean. Reasonable rates. Front desk was very helpful.
433327,995,JB2011,3,3,4,2,4,4,6,FALSE,FALSE,3,New Jersey,11/2011,12/1/2011,TRUE,Very close to Disney!!,4,Close to Disney/Great for families,"This hotel is perfectly situated for a visit to Disneyland and the shuttle is a very nice benefit. The room was adequate, but the bathroom was a bit tired. The shower did not drain and we ended up taking showers in deep water - gross! It took several mentions of our BPG Gold status to get the front desk to offer an upgrade in our room."
433773,3068,Lucca2011,5,5,5,5,5,4,6,FALSE,FALSE,1,"Philadelphia, PA, USA",11/2011,12/1/2011,TRUE,The service was exceptional.,,Updated and Friendly,"We stayed twice over the Thanksgiving holidays. We selected this hotel because we wanted a quality hotel that also would allow us to have our dog with us. They were very welcoming! Our room was immaculate, with updated decor and the bed was comfortable. We appreciated that Starbucks coffee was available. How charming it was that an employee turned off his vacuum cleaner as we walked by so my canine didn't bark at it! We had room service as to not leave our dog alone in the room. Our dinner arrived in a reasonable amount of time and was delicious."
434426,1776,DI79,1,1,1,1,1,,6,FALSE,FALSE,1,,11/2011,12/1/2011,FALSE,,,Dissapointed,This is the first time I have encountered an unpleasant stay within the Grandbourne/ Belvoir family.
434582,3054,RetiredNavy,4,5,5,4,3,3,4,FALSE,FALSE,2,"Boonville, IN",11/2011,12/1/2011,TRUE,Comfortable Beds and a helpfull staff.,1,Good comfort level,My first time there and I knew it was an older hotel. It was clean and comfortable and wouldn't mind more than one night staying there. A nice view of the center and a easy to walk to the area restaurants.
435015,468,Cbird,1,2,2,1,1,3,7,FALSE,FALSE,3,"Hazleton, PA, USA",11/2011,12/1/2011,FALSE,Very old rooms.,4,Outside is beautiful,"This hotel looks fabulous from th outside,but the rooms are very old and the bathrooms were so so tiny.Had to pay to park at your own hotel which is very weird..also had to pay for wifi which is ridiculous this day and age. So it was 30 dollars extra for all of that!!!! Would never stay here again!,,"
435797,2019,Global,5,5,5,5,5,4,4,FALSE,FALSE,3,"Orlando, Florida",11/2011,12/2/2011,TRUE,Attention to Detail,4,Team Novi Was Exceptional,Attention to detail was the X factor that will ensure my continued patronage. Thank you for the use of an umbrella on a most rainy evening.
435913,1177,RC45,5,5,5,5,4,6,5,FALSE,FALSE,2,"San Isidro, Buenos Aires, Argentina",11/2011,12/2/2011,TRUE,Su existencia.,2,Excelente hotel.,Muy buena ubicaci󮠹 relaci󮠣alidad-precio. Predisposici󮠦avorable del personal para satisfacer las necesidades y requerimientos de los hospedados. Acceso a transporte pblico que permite alcanzar Manhattan en pocos minutos. Excelente hotel.
436043,139,hyoung23,3,2,5,4,2,3,2,FALSE,FALSE,2,"Chicago, IL, USA",11/2011,12/2/2011,FALSE,,3,"Too run down for a Belvoir, but comfy","I like the bar area and the free computer use was very handy. I also forgot a toothbrush and the front desk was happy to provide one. However the rest of the stay was either sub par or just average. My main complaint is that my toilet bowl would not refill on its own. I had to manually fill the bowl with water from the sink to get it to flush. I arrived late and wasn't interested in the whole ""moving rooms"" deal so I stayed put. Carpeting and other decor needs updating. Thanks."
436085,1391,Cheryl22,5,5,5,5,5,4,6,FALSE,FALSE,2,"St Louis, MO",11/2011,12/2/2011,TRUE,,1,What a beautiful place to stay,"This was our 2nd visit and can't wait to come back. The staff is very friendly, the hotel & grounds are clean and beautifully landscaped."
