reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
757080,48,CRBY,5,4,5,5,5,3,3,FALSE,FALSE,1,Atlanta Airport Westin,1/2012,2/1/2012,TRUE,Great Customer Service!,3,Customer Service,I have stayed in very nice hotels and some not so nice. This hotel was nice and clean. I was quite impressed after staying there for a day the next afternoon the clerk welcomed me by name! she smiled and was professional and friendly. The 1900 Bar restaurant downstairs had good food. I was beyond impressed with our server Sally. She was gracious and kind and went beyond her job. (Give that lady a raise!). This type of customer service is a breath of fresh air and not seen very often these days. Thank you for a great stay!
762955,1564,CRBY,4,5,3,5,,4,7,FALSE,FALSE,1,"Rochester, NY, USA",1/2012,2/1/2012,TRUE,Very clean and convenient for cruise departures.,2,"Some staff outstanding, some not","We stayed here before going on a cruise, and the room was comfortable and spotless. The housekeeper, Ruth, was friendly and went out of her way to make sure we were happy. The shuttle staff and front desk staff were also very professional and gave good service. The wait staff in the restaurant, however, was abysmal. We waited over 15 minutes to get water when we were the only diners present, then another 15 to order, and another 35 minutes to get our food, during which time we had no staff attention of any sort. Put Ruth in the dining room, is what I say! But otherwise a very nice stay - I would recommend everything but the restaurant."
763003,760,JenniferP,1,1,1,1,1,3,8,FALSE,FALSE,1,"Pennsylvania, USA",1/2012,2/1/2012,FALSE,Do Not Stay At The Belvoir!!!!!!!!!!!!!!!,4,"Dirty, Moldy and Overpriced!!!!!!!!!!!!!",The cleaning staff didn't clean the room and we had to call the front desk for clean towels annd toilet paper. The bedroom's partition wall was rotted and molding. TV remote control didn't work.
764292,3054,Indy2012,4,3,5,3,3,2,4,FALSE,FALSE,4,"Washington, DC, USA",1/2012,2/1/2012,TRUE,,4,"Hotel is ok, but the staff is GREAT","From the doorman to the front desk, to the house keeping staff - every one made you feel welcomed. As a Platinum member for a number of years, I was quite impress by the level of service and attention to detail. The hotel rooms are typical Belvoir style/standard. However, what makes this hotel great is the staff."
764409,1978,Zimmerman1,2,3,3,4,4,3,4,FALSE,FALSE,3,"Atlanta, GA, USA",2/2012,2/1/2012,FALSE,Would be very nice for the price if they paid attention to the little things.,4,Dropped the Ball a Few Times,I am a Gold Preferred BPG member and check in on 2/1/12. I stay here six or so times a year. I am fully able bodied.
764502,995,artemis927,3,3,4,5,3,2,7,FALSE,FALSE,2,"Detroit, MI, USA",2/2011,2/1/2012,TRUE,"I would recommend this hotel for the budget-conscious traveler that's traveling with children. It's fun that the Belvoir resembles a castle, but the rooms are too outdated to be whimsical.",2,Great for Disney,"We stayed at the Belvoir in Anaheim when we were in California for a business trip and decided to drive down to trek around Disneyland Resort. I hopped online and booked the reservation through the iPhone app, satisfied that the price was nice and the photos looked like the hotel was nicely renovated."
765851,674,MikeGR,5,5,5,5,5,5,4,FALSE,TRUE,4,"Massachusetts, USA",1/2012,2/2/2012,TRUE,Staff is amazing. Covered parking in winter. They will do whatever it takes for your stay to be awesome.,4,University Lounge,"I have to say that Tina, the bartender in the lounge, is such an asset, she is always smiling, has a great attitude, it is really what guests want when they are traveling. Such a breath of fresh air in this day of diminished customer service. Can't wait to return!!"
765863,674,MikeGR,5,5,5,5,5,5,4,FALSE,FALSE,4,"Massachusetts, USA",1/2012,2/2/2012,TRUE,,4,Other reviews,"I just read some of the reviews on this site. Being in the service business, I found this hotel to go far above and beyond to satisfy and take care of guests."
766413,3079,CRBY,5,5,5,5,5,2,2,FALSE,FALSE,1,"Dallas, TX",1/2012,2/2/2012,TRUE,Great Location,2,Clean and Friendly,This hotel has a fantastic staff and location. They provide the basiscs everyone wants CLEAN and FRIENDLY. I would reccomend this property to any guest wanting a great stay in the Austin Area.
766694,1564,dovetwinz,1,1,1,1,2,2,3,TRUE,FALSE,2,,1/2012,2/2/2012,FALSE,The staff were unfriendly! My stay was unsatisfactory.,1,This hotel is unsatisfactory!,"The front desk staff was very unfriendly when I arrived. My room was unacceptable. The bathroom was visibly dirty,the shower head was broken and the room was hot because the air conditioning did not work. I was very disappointed with my stay at this hotel."
766708,1589,SAYETY,5,3,5,4,5,3,6,FALSE,FALSE,3,,1/2011,2/2/2012,TRUE,great place to use as a base for a weekend trip to DC.,3,Great staff!,"The staff here is beyond helpful. They went out of their way in every way. Clean, well kept rooms and common areas."
766736,315,OpinionOnEverything,4,4,5,4,4,,7,FALSE,FALSE,4,"Austin, TX, USA",1/2012,2/2/2012,TRUE,Large hotel and good location,4,Nice Wharf Escape,"Thomas, the Concierge, was grand! Helped with full day - from breakfast to dinner and spots in between. Even though quite busy (weekend & football game), they were very helpful & friendly."
767251,954,CP677,3,3,4,3,2,4,4,FALSE,FALSE,4,"Toronto, ON",1/2012,2/2/2012,TRUE,"Close to airport, easy access to highway",4,Needs updating,"Stayed 3 nights. Room decor was okay, but was next to noisy road. If I go back will ask for room facing courtyard. Gym is too small, line-ups for equipment and one eliptical in need of repair. Staff in Club Lounge very nice, but did not know where Toronto is!"
767361,171,CRBY,2,4,1,4,1,2,2,TRUE,FALSE,2,"St Louis, MO, USA",2/2012,2/2/2012,FALSE,No late night menu. Late night staff rude.,4,Customer Service,I am a frequent traveler and have stayed at many hotels in the states. One of terrible things about this hotel is customer service. I ordered food from an outside restaurant and gave permission for the pizza guy to come straight to my room. The front desk person was rude and simply said it was the hotel's policy that the pizza guy can't come straight to my room and deliver the pizza. No further explanation from the front desk. Please explain your policy and don't be rude.
767828,606,NYRangers,4,4,5,4,4,3,4,FALSE,FALSE,4,"Waterbury, VT",1/2012,2/3/2012,TRUE,Good location right off of I-89 and close to airport,4,Great staff,"I stay at this property several times per year. The staff here is always professional and friendly. Always get recognition as a platinum member and I am always upgraded to the club floor. It's a shame that a property of this size has only one suite. The club lounge is nice, but is very small and the evening food options are lacking."
768460,674,Jack5012,5,5,5,5,5,4,4,FALSE,FALSE,3,"Westminster, MD, USA",1/2012,2/3/2012,TRUE,Very clean and a good location,3,Tina,I always enjoy visiting the bar when I stay at this hotel. Tina always has a friendly smile and is very welcoming.
768650,40,Anonymous,1,2,1,2,2,,6,FALSE,FALSE,2,,12/2011,2/3/2012,FALSE,Don't ever stay there!,,Stay at the Belvoir O'hara,"Terrible, terrible, terrible. Very unpleasant experience and the worst hotel we have ever stayed at. And, it happend twice; New year's eve 2011 and 2009. Need a lot of improvement for hotel, management and staff. I have stayed at motels that were better and the staff more experienced! Don't stay there under any circumstances.The food is horrible, especially the buffet breakfast they wanted you to pay $20 which was not worth the soupy, powered eggs, stale bakery, hashbrowns were cold in the middle, bacon too well done, the juices and the fruit was rancid! Horrible experience the entire 3-day stay. Will never stay at this Belvoir again!"
769812,994,Quality2012,4,5,4,5,3,4,4,FALSE,FALSE,4,,2/2011,2/3/2012,TRUE,Best Hotel so far in La Guardia/ JFK area but needs better link to JFK to get Biz,3,Very good could be great,"Excellent direct metro link to manhattan,times sq. Standards at hotel generally very good but needs extra attention to detail. Main disappointment was lack of wine/ beer in club lounge should be included at least for 2 hours, like many other airport locations. Better than JFK Hotel options but needs better transportation links."
769954,664,rabbit,5,5,5,5,5,6,7,FALSE,FALSE,2,"Brooklyn, New York, USA",1/2012,2/3/2012,TRUE,convenient location,4,convenience of Location,"For those who are taking a cruise out of Fort Lauderdale, this is an ideal location. It is about halfway between the FLL airport and the cruise ship port. It is right on the beach, and the beach is beautiful. The hotel can be busy at checkin and checkout time, but the staff was ever courteous and helpful. The rooms are nice and well appointed."
