reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
604915,760,Sharon6188,5,4,5,5,5,,8,FALSE,FALSE,3,"Sarasota, FL",12/2011,1/1/2012,TRUE,Very relaxing atmosphere.,4,Liked It A Lot,"We enjoyed our stay at this hotel immensely. The staff was friendly, courteous and eager to accomodate. Steven in the Coral Crab Cafe served us breakfast and dinner and did a great job. the shuttle drivers were cordial and helpful in recommending places to go. The housekeeping staff did a thorough job cleaning the room and did so quietly. The front desk staff was very pleasant, gracious and informative. We would absolutely stay at this hotel next time we are in Key West!!"
605045,1113,Paron67,1,1,2,1,1,6,6,FALSE,FALSE,3,,12/2011,1/1/2012,FALSE,Unclean and in a bad location,4,Unacceptable,Throughout the years we have stayed in many Grandbourne properties. We find it hard to believe that you have not upgraded this property. We were given no recognition for being Grandbourne members. Room location and room condition were horrible.
605046,421,MrDoc,3,4,3,4,3,4,6,FALSE,FALSE,4,Montreal Canada,12/2011,1/1/2012,TRUE,"Very Big, and when full, Crowded.",4,Lounge Disappoints,The Hotel is very well situated and undergoing renovations. The Rooms are well maintained and effecient.
605271,1047,CRBY,3,3,3,1,3,1,7,FALSE,FALSE,2,,12/2011,1/1/2012,TRUE,Location,,Nice staff & amenities. Just a bad room,"I have no qualms with this hotel. The staff was friendly upon check-in and answered my questions regarding the area. The room was comfortable including the bed. My issue was my room was just not the most clean nor the most well maintained. The floor was not filthy but a better once over with a vaccum would have been nice. Walls were severely scratched and the wall paper was peeling in places. Lighting fixtures were loose. Again, nothing can be perfect but the staff still was friendly."
605421,3052,jag1234,5,5,5,4,5,,6,FALSE,FALSE,3,,12/2011,1/1/2012,TRUE,,,Very friendly staff,"Room not quite ready when I went to check in -- staff gave my girls free chocolate milk, brought me the keys while I was waiting. Lounge great view looking uptown. Comfortable beds as usual for Belvoir."
605554,1998,energywhiz,3,4,1,5,3,2,4,FALSE,FALSE,4,"Washington, DC",6/2011,1/1/2012,FALSE,"Keep your expectations in check. Sometimes this hotel is amazing, and sometimes anything but.",4,"Not Bad, Not Great","I've stayed at this hotel many times in the past year, and have a few stays booked already for this year."
605588,861,CMJSDJ,2,2,2,2,2,3,6,FALSE,FALSE,4,"Tucson, AZ, USA",12/2011,1/1/2012,FALSE,needs updating - older than it looks on the outside,4,Disappointing,Club level was closed due to holiday - certificates issued for one breakfast (two night stay).
605691,741,CRBY,2,1,2,3,1,5,6,FALSE,FALSE,2,Ohio,12/2011,1/1/2012,FALSE,"Ease to the metro. Ask for a ""cool"" room.",3,The temperature in the room and hallway needs adjusted,"Our room was extremely hot and the temperature outside was in the 40s and 50s. I set the temperature to 60 the first night and it was uncomfortable all night for both of us. The next morning, I set the temp to 50 (as low as it would go) and put the fan on high. When we got back that night, the room was cool. It was hot on the third night and we mentioned it to a manager. They opened the windows but the room got hot again during the afternoon. We checked out 1 day early because of the heat. When we pulled out of the garage, we heard through the walkie talkie to get us out asap because we were complainers. The comment was made to us during our stay that others complained about the heat as well. This is not what I expect from Belvoir."
605899,664,pullngs09,5,5,5,5,5,4,8,FALSE,FALSE,2,"Springfield, IL, USA",12/2012,1/1/2012,TRUE,"for the location, service and food, it is a very good value, and would not hesitate to come back.",3,I will be back!!,"We stayed the week between Christmas and New Years. I think they were at capacity for obvious reasons. From the time we arrived to when we departed, the staff was cheerful and rooms were cleaned daily w fresh towels, water and coffee refilled. Any requests were taken care of with a smile. That impressed me the most as I have stayed at more higher end hotels and haven't received the service"
606004,315,GIJOE87,4,4,4,4,4,,3,FALSE,FALSE,2,NC,11/2011,1/1/2012,TRUE,"A hotel that the public needs to be more aware of, as it is great.",,"A very pleasant stay at the Belvoir, san Franciso","I was very pleasantly surprised about the location and amenities of theBelvoir Fisherman's Wharf Hotel. It was within walking distance of many restaurants, attractions and stores. The hotel itself was really nice with regards to the room, the amenities, the staff. I would definitely stay there again and would highly recommend it."
606225,380,CRBY,5,4,5,5,5,5,6,FALSE,FALSE,2,Australia,12/2011,1/1/2012,TRUE,This hotel has everything that you could want. You feel like you are on holiday from the time you enter the lobby,3,Wonderful Holiday Experience,This hotel has such a special feel.
606342,151,Paul101,5,5,5,5,5,5,5,FALSE,FALSE,3,"East Rutherford, NJ, USA",12/2011,1/1/2012,TRUE,Friendly and helpful staff members,2,This hotel has helpful and friendly staff,"Belvoir Meadowlands in East Rutherford NJ USA has staff members (particularly, at the front desk) who are helpful and friendly. Also, the Club Room is very good."
606576,421,RJ52,2,1,4,3,2,,6,FALSE,FALSE,3,,12/2011,1/1/2012,FALSE,Wait until the renovations are completed before staying here.,,Belvoir New York - still bad for golds,"When I checked in on Wed., I asked whether as a gold BPG member I would be able to have a renovated room. I was told that gold members did not receive any upgrade benefit at this hotel and I would receive the exact room I booked, which was an old tired exceedingly hot room on the 8th floor -didn't know I was booking this ;^} . However, if I wanted to pay for a renovated room, it would be $40/night. Whatever happened to the gold benefit of receiving an upgraded room at time of checkin if available - which one was since it was available for $40? I won't be staying here again until all of the rooms are renovated!"
