reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
7281837,127,rob99,5,5,5,5,5,2,6,FALSE,FALSE,4,"Columbus, OH, USA",6/2011,7/1/2012,TRUE,Great Staff and outside areas,3,Stayed 10 days - excellent hotel,Everything about this Grandbourne property was excellent. The front desk staff (especially Mariana) was great. The pool(s) and layout were great. We stayed in the Marina tower and had two rooms for our stay. If you charter a boat check out the Sweet Angel. Leaves directly behind the hotel and it was a great four hours. Highly recommended!
7282141,636,Jakiemon1,4,4,4,2,4,4,8,FALSE,FALSE,2,,6/2012,7/1/2012,TRUE,location is perfect to explore downtown Porstmouth and convenient for local shopping,2,A few issues but overall a great place,"At first, we were not impressed by this hotel. We had some housekeeping issues we discovered upon check in. We asked to have them fixed and were disappointed to find they were not taken care of.Not what I am use to in a Belvoir propery. After speaking to another manager, things were taken care of. I'd say the cleanliness overall was a bit of a let down (dusty corners, dirty glasses, toenail on the floor) . But after they fixed the issues, our stay was great. The staff is friendly and polite. The hotel is perfectly situated in the downtown core so you can reach everything. Overall it ended up being a wonderful stay and we'd definitely stay here again."
7282150,743,Debi,1,3,2,4,1,4,3,TRUE,TRUE,4,"New York, NY, USA",6/2012,7/1/2012,FALSE,Fnd another hotel until their corporate can retrain and investigate why they run the way they do. The poorest experience out of all the hotels that I have stayed at in the last 5 years,4,POOR EXPERIENCE,"In a the years of travel that I have done, this experience will stand out as one of the poorest. Confusion starded the check in process where the hotel couldt understand why I had 2 rooms. Why I was booked with 2 reservations for a suite is beyond me. then I was unable to make calls from my room. I had to call 0 everytime I needed to place a call and that was after many times being placed on hold by the operator befor I was even ever able to make a call out. The hotel, need senior management audit before they end up closing due to poor service"
7282159,421,Womanover30,4,5,2,4,4,3,7,FALSE,FALSE,2,Sweden,6/2012,7/1/2012,TRUE,"Great location, staff disinterested.",2,"Lovely room, staff needs to work on their social skills","I stayed with a friend for eight nights in a superior room with two double beds. Lovely beds, view, bathroom and color scheme, however the walls are thin and both our neighbours had children. The lobby was a screaming mess of young teenagers on a NY trip, I counted to at least three different groups and needless to say the few computers in the lobby were always busy. I met a man who had been put on a floor with one such group and he described his floor as ""a carneval"" and had been granted a switch of floors. The staff in general don't know how to smile and with the exception of the staff at the tickets & tours counter all other treat you as a trial put on them. Since this was our first trip to NY and the choices outside were overwhelming we tried to get tips on good eating places and other things. After a few attempts we realized why there never was a line-up. Also, this is the ONLY hotel ever that has charged me for storing my bags for a few hours between check-out and leaving for the airport. However, the location was great and the room lovely and I would probably stay here again since I like Belvoir."
7282341,691,Jeff58,4,3,5,5,2,5,4,FALSE,FALSE,4,,6/2012,7/1/2012,TRUE,,4,Needs better lighting,"While much of the new upgrades from the renovation are good - the lighting in the bathroom area is really weak. Could use more CFLs or some of the ""older"" style."
7282376,344,kb002,4,4,4,4,4,4,6,FALSE,FALSE,4,"St Louis, MO, USA",6/2012,7/1/2012,TRUE,Excellent location; Very good facilities for an airport hotel.,3,Great airport hotel,"Chose to stay in the hotel since we had an overnight layover on a flight back from Asia. Excellent location, very close to airport; lobby area, Belvoir link area and lounge area stylish & welcoming; pool area & cabanas pleasant and a nice feature. One negative, No beverages available in the executive club during the day or evening except coffee, tea & water."
7282824,353,AliAtx,5,5,5,5,5,4,4,FALSE,FALSE,4,"Austin, TX, USA",6/2012,7/1/2012,TRUE,"they are under renovations, but they make every effort to make you comfortable!",4,Renovations almost complete-looking good,"I've stayed at this hotel before the renovations ( and Grandbourne properties) and now with the recent room / gym renovations, I will ALWAYS stay at this hotel while in New Olreans. The new rooms are fantastic. The gym is what every hotel should offer in a gym. Well Done!!!"
7282838,636,luv2travel2,5,5,5,5,5,6,6,FALSE,FALSE,3,"San Francisco, CA, USA",6/2012,7/1/2012,TRUE,Steps away from amazing dining and shopping.,2,Great Hotel,"I stayed here while traveling with my adult daughter and used this hotel as a base to explore the area. This Belvoir by far exceeded my expectations. I also had to find a notary and fed ex drop while there and the guest services went out of their way to track down in record time everything I needed. The staff could not have been nicer and more helpful. The hotel is beautifully appointed, located within walking distance of the harbor, restaurants, shops and everything to make your stay a wonderful one. I hope to stay here again and would highly recommend this"
7282900,855,R2M2,5,5,5,5,5,5,6,FALSE,FALSE,3,"Yorktown, VA",6/2012,7/1/2012,TRUE,,1,Raphael,"Stay here, been to a number of LI hotels, this gives you it all. If you have BPG access to the Club lounge - you get more than what you need, and then some, especially with Lori on duty at night. She makes the stay feel like being with your favorite family member."
7282981,421,Dlupia,4,5,3,5,5,3,6,FALSE,FALSE,2,"Utica, NY",6/2012,7/1/2012,TRUE,Newly renovated rooms with a great location,2,Pleasantly Surprised,"After reading prior comments, I was a bit nervous about staying here. To my surprise many of the negative comments were not true."
7283106,315,Travis76,4,4,5,4,4,0,6,FALSE,FALSE,2,"Connecticut, USA",6/2011,7/1/2012,TRUE,"Convenient to Fishermans Wharf. A bit expensive, but safety and location are both positives.",3,Fishermans Wharf Belvoir,"Overall good experience, although the cost of parking the vehicle is the most that I have ever paid in my frequent travels around the country. Room was clean, but bathroom was extremely small and not updated. Staff was very friendly, particularly the concierge."
