reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
1029074,344,SAPA,4,4,3,4,4,3,6,TRUE,FALSE,3,"Vancouver, BC, Canada",2/2012,3/1/2012,TRUE,IT IS CLEAN AND WELL ORGANIZED EASY ACCESS TO EVERYTHING,2,NOT RECOGNIZING STATUS,I HAD A RESERVATION MADE
1029873,832,Bustraveler,2,2,3,3,2,,4,FALSE,FALSE,4,,2/2012,3/1/2012,FALSE,,,Quality Has come down a lot !,"I stay here a lot on Business trip. This year I started this week and noticed the Platinum lounge's quality has come dowm a lot. They dont have Milk, Bread or any fruits. I told the Management and they dont repond. The quality had come down very much. I have already cancelled two weeks of my trip already. If the quality is like this I am not going to stay here anymore."
1030705,3576,Jimpdr,5,5,5,5,4,5,7,FALSE,FALSE,3,,2/2012,3/1/2012,TRUE,,2,Good hotel with great staff,Hotel is a little older but well maintained. The staff in ALL areas were great. Very friendly and outgoing.
1031143,196,MobileMike,5,5,5,5,5,3,4,FALSE,FALSE,3,"Toronto, ON, Canada",2/2012,3/1/2012,TRUE,It's in a great location for walking and shopping.,2,Tremendous Staff,"The staff in the club lounge is amazing. They went the extra mile to exceed all of my expectations. The rooms are clean and spacious, and every staff member I encountered was polite and genuine. While I didn't eat at Shula's, having it as part of the hotel is a pure plus for next time. This is the hotel I will be staying at for all of my future visits to Chicago."
1031565,1998,GoHokies,3,4,2,5,3,2,6,FALSE,FALSE,4,"Fairfax, VA",2/2011,3/1/2012,TRUE,,4,Just Average Hotel,"This Belvoir is just average for everything, the hotel itself, lobby, room, restaurant, fitness room, club lounge. Nothing great and nothing bad."
1032126,1162,cathyprz,5,5,5,5,5,4,7,FALSE,TRUE,2,"Hartford, CT, USA",2/2012,3/2/2012,TRUE,Bottled Water in the room is complimentary. Very nice!,2,Recent Stay in Orlando,We had a wonderful time at the Belvoir Safari. The staff that greeted us as our cabs pulled up each day were always friendly and went out of their way to make us feel welcome. The room was clean and very nice. The pool area was clean and welcoming. We enjoyed the hot tub every day. We had absolutely no complaints! I would stay there again in a second!
1032633,102,AngieD,4,4,5,4,4,4,6,FALSE,FALSE,2,"Boston, Massachusetts",2/2012,3/2/2012,TRUE,"Well Maintained, Many Amenities, Great Staff",3,Pleasantly Surprised,"Our family ,which includes 3 children, stayed at the Crescent at the beginning of our week long trip to The Grand Canyon, and the end of our trip. We flew in and out of Sky Harbor Airport in Phoenix so this location made sense. I saw the function of this hotel primarily to be a place to lay our heads during our vacation, but it turned out to be much more."
1032794,832,QueenBee,5,5,5,5,5,6,7,FALSE,FALSE,3,Phila. PA,2/2012,3/2/2012,TRUE,price was right,1,This hotel is well worth a visit,The charge for a room was reasonable and I was pleasantly surprised how great the expereince was. I would definately return and recommend.
1033632,344,gpmesa,5,5,4,4,5,4,8,TRUE,FALSE,3,"Arizona, USA",2/2012,3/2/2012,TRUE,Great Hospitality from all the staff,3,15 year anniversary,We called ahead of time for our room to have items in it upon our arrival. The items were not in the room and there were no comments on file.
1034980,90,Harry47,5,5,5,4,5,5,5,FALSE,FALSE,2,"Wellington, Florida",2/2012,3/3/2012,TRUE,Everything was superb! The shuttle to king street was an extra plus!,2,Best kept secret in DC area!,"Everything about this hotel was great! The staff was super and all of them seemed to go the extra mile to meet our needs. The front desk staff, the shuttle drivers, the bartenders, the food and beverage manager were all superb! I highly recommend this hotel to all DC area travelers. Really enjoyed our stay although we were in town for a funeral."
1035043,664,Pesty,4,4,3,,5,5,8,FALSE,FALSE,3,Las Vegas,2/2012,3/3/2012,TRUE,"If you are staying in the beach tower and have a car, be prepared to WALK",4,GOOD NOT GREAT,Two improvements that I would like to suggest ;
1035144,377,Mike21,5,5,5,5,5,4,6,FALSE,FALSE,4,"New York, NY, USA",2/2012,3/3/2012,TRUE,Greatest Staff and accomandations. Centrally located.,4,Best Stay of My Life,"I am a Platinum member and the Belvoir Waikiki is the place to stay. The quality of the hotel is only exceeeded by the quality of the staff. They are committed to customer service and want to ensure guest have a great time. This is obvious from the moment you check in, to housekeeping, guest services, the Leahi Club and the pool. I will make this hotel my second home."
1035543,95,HRH0730,2,1,1,3,1,5,6,FALSE,FALSE,2,LOUISIANA,2/2012,3/3/2012,FALSE,Before you unpack check the water at the tub and check the phone. Do not say you have a car or you will be penalized by having to pay a parking fee.,2,"No phone, no hot water, no call back from manager","First night, no phone. Second night, we were told it was fixed. There was even a new phone and index card placed as if it was fixed; but, it was not working. The technician said the repairman had logged it as ""unable to repair."" So, why try to fool us. Only warm not hot water at the tub for three nights. Parking paid for by guests but free to everyone else. Sent an email to manager. He asked for us to call which we did. Got his voice mail. Left message but he has not returned the call. Do not recommend this place to anyone."
1036299,1291,Irish6,5,5,5,5,5,6,1,FALSE,FALSE,2,"Fairfax Station, VA",2/2012,3/4/2012,TRUE,Very fine service!,3,Historic Hotel With Character,"""They don't build them this way anymore"", is the best way to describe the Belvoir Gunter. A grand hotel with ageless architecture which is carefully and well-maintained. The hotel's staff is as friendly and customer oriented as any that I have met. Restaurant and room service provide excellent food. I would stay here again. Thanks for your fine service and hospitality."
1036452,1162,swampette,4,5,5,2,4,2,4,FALSE,FALSE,2,"Tallahassee, FL, USA",2/2012,3/4/2012,TRUE,Great Disney access,2,Excellent Remodel,"I have stayed at this hotel in the past when it had the safari theme, and the recent remodel is a HUGE improvement. The bedding is an area of focus for me, and the new bedding was fresh and comfortable."
1036534,760,RoadTrip2012,5,5,5,5,5,4,8,FALSE,FALSE,3,"Toronto, ON, Canada",2/2012,3/4/2012,TRUE,"Beach and Boardwalk right across the road, Duval Street 10 minute shuttle ride away....best of both worlds.",2,Very relaxing & comfortable,"This was the 3rd of 4 Grandbourne hotels we stayed at on our month long roadtrip and it was, by far, our favourite. Initially, we thought we might regret not being within walking distance of Duval, but that turned out to be a positive. The complimentary shuttle service was very convenient and made Duval Street accessible without being in the middle of the chaos 24/7. Munisa at check-in was efficient and made sure we had all the info we needed to navigate the hotel and the area. The best surprise for us, was that the beach and boardwalk were right across the road. What a great way to start the day. Our room was wonderful...spacious, spotless and well stocked and Iliana kept it that way during our stay. Unfortunately we were only there for 2 nights. Next time we will stay longer."
1036740,1047,Javag01,4,5,4,5,4,4,4,FALSE,FALSE,3,"Huntsville, Alabama, Verenigde Staten",2/2012,3/4/2012,TRUE,In the restaurant tips on credit card payments get increased without the customers consent.,2,No time for the customer,"At checking in, the desk clerk was on a phone call, did not look at the customer in front of him, and made no attempt to end the phone call expediently. An hour later I had a question. Same experience as at check in."
1037971,828,LPizz,5,5,5,5,5,4,5,FALSE,FALSE,4,"San Diego, CA",3/2012,3/4/2012,TRUE,"Convenient, comfortable & caring!",3,The staff were amazing!,"We stayed here 5 nights and were treated wonderfully from the beginning. A special shout out to Charlie the shuttle driver whose friendliness is unparalleled, Doreen in the club lounge for her extraordinary assistance, and Agnes at the front desk for her exceptional service."
1038065,430,MarkTexNYC,4,4,4,4,4,2,4,FALSE,FALSE,4,"New York, NY, USA",7/2011,3/4/2012,TRUE,,3,Awesome Belvoir,"No doubt this property is pretty old, but they've done an excellent job of keeping it fresh, clean and up-to-date. The property is huge and clearly a mother ship for conference-goers. Further more:"
1038209,607,Chris78,5,5,5,5,5,2,6,FALSE,FALSE,4,United States,1/2012,3/4/2012,TRUE,,2,CONSISTENTLY AMAZING,Without doubt one of the BEST Belvoir properties in the WORLD!
1038279,1556,milhouse7,3,3,4,5,3,3,7,FALSE,FALSE,4,"Saskatoon, SK",2/2012,3/4/2012,TRUE,Good Location,3,Adequate but not memorable,Check-in was very fast and efficient. As a Platinum I was upgraded to a suite on the top floor. To my surprise one of the elevators was out of service and the working one was very slow making waits extra long. Signs were posted that service elevator was available.
1038301,1959,milhouse7,4,4,3,4,4,3,7,FALSE,FALSE,4,"Saskatoon, SK",2/2012,3/4/2012,TRUE,"Good Location, yet felt like in a secluded area",3,Enjoyable escape in La Jolla,"Had a little difficulty finding the hotel, so needed the GPS to find exact location. Luckily I read about front desk being seperate from the rooms, so I didn't unload the vehicle. it is not obvious when you pull up that this is almost a resort style property. Check in was easy and was given 50% off coupon to the dining room. Since i hadn't had lunch yet, I decided to try it out."
1038316,1552,milhouse7,4,4,3,4,4,3,7,FALSE,FALSE,4,"Saskatoon, SK",2/2012,3/5/2012,TRUE,Good club lounge,3,Good Club Lounge,"I have stayed at this hotel multiple times as it is usually available for a very good rate and has good facilities. The rooms are nice although a bit small. One thing I noted was valet parking used to be included in parking fee, but they have recently raised the valet fee to DOUBLE the parking fee."
1038734,1564,louis123,1,2,1,2,1,,6,FALSE,FALSE,4,,2/2012,3/5/2012,FALSE,,,Unsatisfactory Rating,this hotel did not meet my expectations. Room was 'tired' and threadbare and the staff was not helpful. I was particularly disappointed in the way my baggage was kept when I checked it with the bellstaff. It was placed in an unlocked room which was visible and open to the lobby. This was totally unacceptable to me and not at all what I expect from a Grandbourne property. I will shy away from any Sharaton Brand hotels as a result of this experience.
1038929,1726,Fshman,4,4,4,4,4,4,3,FALSE,FALSE,2,NC,2/2012,3/5/2012,TRUE,,2,Excellent value,Great Hotel and service. Excellent value.
1038968,90,Donya25,5,4,5,5,5,4,3,FALSE,FALSE,2,"Oak Ridge, TN, USA",2/2012,3/5/2012,TRUE,Everyone I contacted during my stay was friendly and very helpful.,1,Convenient location,"I stayed two nights and was able to use the hotel shuttle and the Metro system to easily get from the airport to hotel to meetings. The room was spacious for only one person and meticulously clean (pillows were too soft for me). I really liked the ability of the curtains to block all light. I ordered room service breakfast (which was very good) and exercised the green option of not having maid service on the first night of my stay. This resulted in not having an order form for breakfast the second day. After enjoying the buffet-style breakfast in the hotel restraurant, there was a delay in obtaining change for $20, but they held the 7 am shuttle for me. Thanks!"
1039078,33,TUFan25,5,5,5,5,5,4,6,TRUE,FALSE,2,"New York, NY",Multiple,3/5/2012,TRUE,The staff is very professional and the the rooms are always clean.,2,Great hotel!,I have stayed at this hotel a number of times while visitng my son who is attending Towson U. The management and staff do a great job. The hotel is always clean and the staff is always friendly and accomodating. The hotel is in a great location and offers competitve rates. I would highly recommend this hotel!
1039207,3054,puck1793,4,5,5,5,3,4,4,FALSE,FALSE,4,rhode island,2/2012,3/5/2012,TRUE,Great service,4,stay in indianapolis,"I stayed at this hotel from 2/26 through 3/2. The hotel location is excellent and the staff very good. Alixis in particular was extremely helpful with some requested I needed. The hotel has only one downside which is the gym. The gym is extremely small considering the size of the hotel. There is one weight bench and the ceiling is very low so any overhead exercises are not possible. Also the cardio equipment is dated. As noted, the remainder of the hotel is top notch, except for the gym."
1039367,353,RunnerGirl,5,5,5,5,5,3,6,FALSE,FALSE,1,"Houston, TX, USA",3/2012,3/5/2012,TRUE,"Great location, friendly staff",3,Staff went the extra mile!,"We stayed at the hotel this past weekend for the New Orleans Rock and Roll Marathon. The trip and stay were great, however, on the ride home, we realized our daughter left her school library book in the room. Tears followed. I contacted the hotel by phone followed by an email. The staff was responsive. I didn't think we'd ever see that book again and would have to pay the library for a new book, not to mention, more tears from my daughter. Low and behold, Angele came to the rescue- the book was found! They are sending it back to us! I know it seems nominal, but it wasn't to our daughter. They made our day and are saving her book report! Thank you to the hotel for jumping on this!"
1039401,198,HospitalityEducators,2,2,2,3,2,0,3,FALSE,FALSE,2,"Phoenix, AZ, USA",3/2012,3/5/2012,FALSE,The quality of facility and some service have declined over the past several years,2,Less than expected,1. The bed near the window was very uncomfortable
1039478,3207,Kms11,3,3,2,2,3,1,3,FALSE,FALSE,4,"Oklahoma City, OK, USA",3/2012,3/5/2012,FALSE,,2,The hotel is worth less than what you are paying to stay.,My experience at the Belvoir was not horrible by no means. The front desk greeted me by name and they have great facilities. What was disappointing was the fact that when I arrived the parking was full and there was not anyone to hep with where to park. When I got to my room I found that my pillow case was dirty the first and then didn't get changed the for second night. I could not enjoy a bath because the tub had a stain ( the newly remodeled room). The second night I was there I had to call house keeping to come change my sheets and no one was sent up. That same night I waited in the DRAFT to place a togo order and had to ask someone to wait on me. Once I got back to my room I then found out that my order was wrong and had to go back down to have it corrected. I know these are small things but to pay a hundred dollars a night or more I expect better.
1039494,94,jschluet,5,4,5,5,5,1,5,FALSE,FALSE,2,"Collinsville, VA, USA",3/2012,3/5/2012,TRUE,The staff is very accommodating and easy to work with.,2,Good Area/Great Staff,"If you are looking for a hotel that reasonably priced and outside of downtown, then this is it. You get what you pay for. The staff was extremely helpful, and top notch. The management there remembered me, and spoke to me daily about my stay. The rooms had plenty of space, and were comfortable. The hotel and staff deserves a great deal of respect for helping my colleagues and I to have a great stay in Columbus."
1039868,3068,Tiberius172,5,5,5,5,5,3,5,FALSE,FALSE,2,"Danville, VA, USA",2/2012,3/5/2012,TRUE,Calm and relaxing,2,Extrodinarily pleased.,"I recently stayed in Roanoke, VA at the Belvoir Roanoke Hotel & Conference Center and found an excellent hotel. We were extremely impressed and pleased with the overall look and feel of the hotel, the cleanliness of not just the rooms but the hallways, lobby, and Indoor Pool Area (which my children loved!), and the very friendly Staff. Id like to mention, Mandi at the front desk, Brenda who was on the cleaning staff and was a delight to talk with, and Shae and Rebecca at the Starbucks coffee shop. All of whom were smiling and very helpful. It was very obvious the time and care that has gone into this hotel. I see some reviews that I think are a little harsh after all; this is not purported to be a 4 or 5 star hotel but rather a 2 star and for such, this hotel is an excellent value."
1040338,3205,Bella,4,4,5,3,2,4,3,FALSE,FALSE,2,"Fort Worth, TX, USA",2/2012,3/5/2012,TRUE,"if you use AT&T, you may have terrible reception anywhere except in the lobby.",4,Convenient downtown - but poor lighting in room,"Great location on 16th Street Mall, can hop on free trolley right in front of hotel. The rooms are very nice - but mine had an awkward layout in that the door opened directly to sight of the bed. Even with the safety latch in place, just opening the door the couple of inches would have shown me laying in the bed. Also, the lighting in the restrooms is pathetic for a female trying to apply presentable make-up for the day/night ahead."
1040545,350,Vijay,5,5,5,5,4,3,2,TRUE,FALSE,3,"Los Angeles, CA, USA",3/2012,3/5/2012,TRUE,Staff; Customer Service,4,Great Place,This is a great place; home away home.
1040564,198,Sandy97,2,4,3,5,3,4,5,FALSE,TRUE,2,,3/2012,3/5/2012,FALSE,Make sure the front desk tells you where you can park and the elevator that is closes to your room.,4,Room was very clean!,Was not happy that I stayed at this hotel 2 weekends in a row and requested to be by our friends. Even had to call and give them my friends confirm #'s. When I checked in they didn't have me by my friends. Same floor but opposite sides of the hotel. Was very disappointed! I had majority of my team stay here both weekends. This hotel was out of the way for us but heard it was a nice place. Don't know if I would stay again due to spending almost 400.00 and having all my friends stay here and not getting what I was promised.
1040971,914,DelandDi,5,5,5,5,5,4,6,FALSE,FALSE,2,"Zeeland, MI 49464, USA",2/2012,3/5/2012,TRUE,The pool area feels like the tropics with palm trees and a top-notch crew that keeps the pool clean and orderly.,3,Gulf View Room,"We reserved a Gulf View Room, but we received a room where we had to go out to the balcony to see the Gulf. I contacted our vacation planner and the next day, they contacted Carol in Guest Services."
1041242,1582,MarkTexNYC,5,4,4,4,4,2,4,FALSE,FALSE,4,"New York, NY, USA",8/2010,3/5/2012,TRUE,,3,Highly recommended.,"This is a great property ideally suited for the frequent business traveler. Next time business takes me to Jacksonville, I will stay here again:"
