reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
2047364,421,Laurie25,3,3,3,4,2,5,6,FALSE,FALSE,3,"Chicago, IL, USA",4/2012,5/1/2012,FALSE,"It is a madhouse of people. If you need peace and quiet, this isn't for you",4,Majoring in Mediocrity,"There was nothing terrible about our stay but lots of little annoyances that add up to wishing we had been somewhere else. Our king bed reservation turned into 2 doubles and the person who checked us in insisted they were 2 queens--which is why we took the room. She should have been better informed. She also knew nothing about the gold welcome amenity and had to ask someone else. Our room had a broken safe and we had to call for service on it twice which made us late for where we were going. I had lots of trouble with the computer in the lobby, and the set-up is such that everyone in that lobby can see what you're working on. That's flat out wrong. I even get the idea of creating more energy and connectedness in the lobby by putting the work stations there, but give people a little personal privacy when they're on the computer. And the elevators took too long. Too many people coming and going--like a factory. And finally, I can't believe they are still charging $10 a day for the fitness center. Come on people. If you have to charge, make this one of the gold amenities. I didn't need that free drink. I need a workout in the morning. I am a committed BPG member but I would only stay here with points, I would never pay to stay here."
2047872,115,CRBY,2,3,2,3,1,4,5,FALSE,FALSE,1,"Memphis, TN, USA",4/2012,5/1/2012,FALSE,,3,Not the Belvoir I Expected,"Beyond the exterior and lobby decor this hotel needs plenty of management work. The staff was pleasant and graceous, however, It took us 2 hours, yes TWO, to check in. During this time they did offer refreshments, but what I really wanted was to get settled. Murmurs through the crowd were they're just not prepared to handle large crowds. Are you kidding me? They sit next door to the convention center. Crowds should be their speciality. Once our room assignments were given we arrived on the 8th floor to piles of laundry on the floor outside of rooms. I was skeptical as I entered my room, which was okay. Didn't eat there as prices were exorbitant and again long lines. Check out made easy on the TV wasn't working , so back to standing in another line. Overall VERY disappointing. I've stayed at lesser hotels with more attention to the customer."
2047966,115,CRBY,5,4,5,5,5,4,3,FALSE,FALSE,2,"Louisville, MS 39339, USA",4/2012,5/1/2012,TRUE,The staff goes above and beyond to service the guests.,2,Awesome!,From the moment we checked in to the moment we left our stay here was exceptional. Jocelyn was so helpful and kind during check in. We were there for the Extrodinary Women's Conference at the BJCC so everything was right there. The only issue we had was when the conference was over was getting out of the parking garage. It took one hour to get out. Would definately recommend this hotel and will stay there again.
2048015,151,GramFam,4,4,5,5,5,2,5,FALSE,FALSE,2,,4/2012,5/1/2012,TRUE,,3,Great Stay - our dog loved it too!,This was our first stay here (we were in town for a wedding)..and first time traveling with our 60lb bulldog. All in all..the stay was GREAT! We dined at the restaurant bar twice for a light lunch and the staff was incredible. So nice..accommodating...and with great big smiles on their faces. It is for them that I write this review!!
2048064,3205,Juanita04,3,4,4,4,4,3,3,FALSE,FALSE,2,,4/2012,5/1/2012,TRUE,,,First impression,The overall stay at the hotel was great. I was in town for a convention and the facilities were fantastic for the event.
2048075,127,Zachary2001,5,4,5,4,5,4,3,FALSE,FALSE,2,"Long Beach, CA, USA",4/2012,5/1/2012,TRUE,"Regardless of what Tower you are in, it is a pleasant walk between the towers.",3,Terrific experience,"I was responsible for planning, organizing and running a 2.5 day conference for my employer and in large part the conference was a tremendous success because this Belvoir met and exceeded all expectations. Further, they kept all the promises made when I visited the hotel months earlier to ""scout"" locations. Did not hear on complaint from any of our 225+ guests."
2048176,2011,graycee44,2,2,2,4,1,4,6,FALSE,FALSE,2,"Middletown, NY 10940, USA",4/2012,5/1/2012,FALSE,,2,Mrs. Hutchinson,1. Room was very small
2048268,1291,MommyTravel,5,4,5,4,4,4,6,FALSE,FALSE,3,"Mission, TX",4/2012,5/1/2012,TRUE,Location EXCELLENT + Friendly Staff,2,Location cannot be better,Travelled with my in laws + 4 year old daughter and at the end of our trip we all could not be happier.
2048555,942,Poopsie42,3,3,3,4,2,6,7,FALSE,FALSE,3,"Mebane, NC, USA",5/2012,5/1/2012,TRUE,Normally it is a very good hotel and we have enjoyed many nights there.,2,Normal expectations not met,"We have stayed at this hotel many times and was always given the best rooms available due to our Gold Grandbourne Preferred Guest status. I will say up front, that I did not ask for an upgrade when I checked in. However, we were placed on the 3rd of 8 floors and the room was not up the standard that we are used to when staying at this or any Belvoir. If we had been staying for more than 1 night I definitely would have asked for better arrangements. No Grandbourne Gold member should ever have to ask for a better room - it should be the standard."
2048739,5611,Ssmorriso,5,5,5,5,5,5,7,FALSE,FALSE,3,"Dana Point,CA",5/2012,5/1/2012,TRUE,"Great location and decor. Nice, low key property.",4,Our Scottsdale Favorite,"We are Blessed to live in a beautiful little beach town in southern California. However, we enjoy Scottsdale get aways and have stayed at Kierland many times. We discovered Belvoir Desert Oasis a few years ago and will now return next week for perhaps our 7th visit. Perfect size, decor and access to all the best Scotttsdale has to offer."
