reviewID,hotelid,userName,overall,roomComfort,staffMetNeeds,cleanRoom,facilitiesMetExpectations,ageRangeID,tripPurposeID,travelAgent,meetingPlanner,BPGStatusID,guestFrom,arrivalMonth,datePosted,recommend,everyoneShouldKnow,frequencyID,title,comment
11388338,881,Sonics96,5,5,5,4,5,4,4,FALSE,FALSE,4,"Issaquah, WA, USA",9/2012,10/1/2012,TRUE,Near the airport,3,"Great service, comfortable stay.","Great service, comfortable stay."
11388378,430,Locust,3,4,5,3,3,4,2,FALSE,FALSE,3,IL,9/2012,10/1/2012,TRUE,Usually good hotel.,4,Good facility,"Usually great rooms and service. This time however the room had a odd smell, plaster over dry wall was peeling and area's of missin plaster. Mold on some area of old pink tiles in the shower"
11388523,1959,TamTam4,4,5,5,5,5,3,5,FALSE,FALSE,3,"San Diego, CA, USA",9/2012,10/1/2012,TRUE,Super location and great staff!,3,Booked for my bridal suite,"The junior suites are an excellent size. Plenty of room for my bridal party and it was close to my venue. The beds rock and the kitchen is a nice size as the living room. Staff was accommodating and friendly. Great location to shopping. Parking is a ripoff for the price you pay for a room.. Park on street if possible, as we did and its free."
11388582,1162,OnTheGoInTheKnow,5,5,5,5,5,3,8,FALSE,FALSE,3,"Tampa, FL, USA",9/2012,10/1/2012,TRUE,Great customer service.,4,It's All Good,I can't say enough good things about this resort. Thanks to the entire staff!
11388601,421,Jukebox,5,5,5,4,5,5,6,FALSE,FALSE,3,"Milton Keynes, UK",9/2012,10/1/2012,TRUE,Proximity to Times Square,1,Great location and well appointed,"We were checked into the hotel very quickly, and soon began exploring the city. The proximity to Times Square, Broadway and Central Park were all excellent. It was also quite exciting having ex President Clinton, Hilary Clinton and Mitt Romney in the hotel during our stay. We would definately stay at this hotel again!"
11388701,434,dsmini1229,4,2,5,3,5,5,8,TRUE,FALSE,3,"Ridgeway, VA 24148, USA",9/2012,10/1/2012,TRUE,The staff is very friendly,2,dsmini1229,"Let me start off saying that I really like Belvoir. The room at Downtown Raleigh, NC was not the standard. The carpet had soild spots and the room need to be dusted.I had two of every thing but bottle water and yes it is the little thing that count."
11388741,377,myfab50,5,5,5,5,5,4,6,FALSE,FALSE,2,"Sydney NSW, Australia",9/2012,10/1/2012,TRUE,"This hotel has something that should appeal to all. It's great for couples, families, singles, small groups, large groups",1,This hotel has an amazing atmosphere,We stayed at the Belvoir Waikiki in September and were instantly thrilled with what we saw. From Elaine who checked us in with her friendly yet professional manner to the sheer size and buzz of the hotel. All the staff we encountered were always happy and very helpful and made us feel at home. We will definitely be returning to the Belvoir Waikiki on our next vist...and hopefully that won't be too far away as we miss it already!
11388761,814,rick1745,3,4,2,4,2,5,1,TRUE,FALSE,1,"Mobile, AL, USA",9/2012,10/1/2012,FALSE,,2,rooms nice but,"Breakfast at the Aqua VI resturant was cold, Service was below average. Had unreasonalby long wait for food delivery."
11388965,1113,kaz1958,1,2,1,1,1,4,4,TRUE,FALSE,1,,9/2012,10/1/2012,FALSE,"It is not an ""A"" rated Belvoir Hotel",4,Dissappointed,"Upon arrival I had to wait 10 Minute for the front desk staff. (I was the only one there). Room had a stained dirty carpet, but it was vacuumed. There was glass ring stains on the countertops, bathroom counter was stained. Bed sheets were down halfway on the sides of the mattress. It took 3 tries to get someone from the front desk on the phone. There was a $10.00 fee to use the internet. Cup of yogurt and a muffin for breakfast cost me $15.00. Disappointed"
11388978,992,Wharton101,4,4,4,3,3,,3,FALSE,FALSE,1,,9/2012,10/1/2012,TRUE,,,This hotel is in a great location,This hotel is conveniently located on the Penn campus; close to restaurants and the school locations I was interested in.
11389283,94,Keith77,5,5,5,5,5,3,3,FALSE,FALSE,1,,9/2012,10/1/2012,TRUE,Beautiful rooms,1,Rooms are amazing,"Staff was great, Room was a pleasure to come back to every night. Staff was help full. Hotel was always clean."
11389441,468,kdkdkd,4,4,5,5,5,,3,FALSE,FALSE,1,,9/2012,10/1/2012,FALSE,,,Temperature,The service was wonderful. The temperature throughout the hotel was freezing. More than one person in our group came back sick.
11389679,606,Hle42,3,2,4,3,3,3,3,FALSE,TRUE,1,"Eliot, ME, USA",9/2012,10/1/2012,FALSE,,2,"good facility, marginal rooms","While the location of this facility made it a good choice, and the friendliness of the staff was commendable, the rooms were cramped and musty smelling. We were given basement rooms and the bathrooms had no fans, which, I am sure, accounts for the damp, musty atmosphere in our rooms. Not up to Belvoir caliber!"
11389722,1726,Chuck56,5,5,5,5,5,5,3,FALSE,FALSE,1,"Greenville, SC, USA",9/2012,10/1/2012,TRUE,The Belvoir really wants your business and does a lot to make you feel comfortable.,3,This hotel has great service.,"Friendly, courteous, helpful staff. They bent over backwards to make us feel welcome. It seemed like there wasn't anything that they wouldn't do to make our stay more enjoyable!"
11389938,353,massemail,4,5,4,3,5,4,3,FALSE,FALSE,1,"Houston, TX",9/2012,10/1/2012,TRUE,Most everyone was very friendly,2,Very nice,"The room was very updated and modern; comfy. The lights went out in the bathroom early one morning, and they were repaired within 20 minutes of calling. Housekeeping neglected to leave towels one morning and when we asked one of the cleaning ladies in the hall for two towels, she was rude and basically accused us of stealing the towels out of the room. One of the cleaning people also left a snickers wrapper and crumbs on the night stand, and it wasn't our snickers bar."
11390223,743,jhay32,5,5,5,5,5,4,3,TRUE,FALSE,2,"Kansas City, MO, USA",9/2012,10/1/2012,TRUE,Great Food at your restaurant and bar,3,Belvoir DFW,Everything that was asked for was provided for the conference. Had problems with my TV and it was taken care of within minutes of arrival. Great hotel.
11390278,1995,TCHiggins,2,2,3,3,2,5,4,FALSE,FALSE,4,"Dallas, TX, USA",9/2012,10/1/2012,FALSE,It is old and needs renovation.,4,This Hotel needs work,"I stayed on the 10 th for three different stays and 2 different rooms. Both rooms smelled old and like a locker room after the first day of each stay. The linens were clean but the room clean up was bad. One day they left all the breakfast stuff that I had clearly finished...empty yogurt container, empty cereal bowl, banana peel, and emplty coffee. Also, once I used the cleaning bag once it was never replaced. The gym had machines that didn't work and TV's on the machines that didn't work."
11390344,33,Scott101,2,1,4,4,1,3,4,FALSE,FALSE,1,"Baltimore, MD, USA",9/2012,10/1/2012,FALSE,,1,loud and cold,"I had to move to another room due to the noise of people talking in the next room. I do not recommend a room with an adjoining door. Also the heat did not come on all night, very cold."
11390359,1751,Fiona12,5,4,4,4,4,,3,FALSE,FALSE,2,,9/2012,10/1/2012,TRUE,,,Nice stay,I was in town for a conference. The hotel is in a great location. The staff is friendly and the room was clean.
11390368,353,LD05891,4,5,3,5,5,4,1,FALSE,FALSE,1,"Tupelo, MS, USA",9/2012,10/1/2012,TRUE,It is a beautiful hotel,,The elevator system is great,The room was great. The only thing that I didn't like was checking in. I requested a certain type of room when I made my reservations. W hen I checked in my request had not been taken care of. They finally got it fixed but I shouldn't of had that issue. They also held a certain amount on your card which was not told to me in advance.
11390371,48,11111,2,2,5,4,3,3,3,FALSE,FALSE,2,,9/2012,10/1/2012,FALSE,"Hotel needs to be updated,",3,service manager,"If you are to walk around the Hotel and take note, 1. wall peeling in many areas, 2. lots of water damage to ceiling and walls, 3. Windows are very dirty. And one big thing is the sheets do not fit the beds as you sleep the sheets bunch up under you? Very uncomfortable, this was the case with several of other people I had spoken to in my meeting. I hope this helps"
